id,sequence,task,choices,domain,response_type,response,expectedAnswer,answered_correctly,answerAtAction,expected,Group,Introduction,AnswerNeg,AnswerPos,GroupCode,trainingLogics,Gender,Age,answer_0,answer_1,answer_2,TaskID,anstype,time_0,time_1,time_2,eventType_0,eventType_1,eventType_2,Likelieness,Education,MP,DA,AC,MT,inffig,anstype,Scenario,ScenarioPos,ScenarioPos1,ScenarioPos2,TaskPos,TaskPos1,TaskPos2,TaskPos3,TaskPos4
1,0,Implies;Holds;Lisa has an essay to finish;Mostly;Holds;She will study late in the library/Holds;Lisa will study late in the library,Holds;Lisa has an essay to finish|Not;Holds;Lisa has an essay to finish,nonmonotonic,single-choice,Holds;Lisa has an essay to finish,Lisa has an essay to finish,1,pos,pos,B2,0,Lisa does not have an essay to finish,Lisa has an essay to finish,cautPrem,y,m,18,pos,38,None,15,AC,12159,20945,22690,Answer,Likely,Continue,37,High School,0,0,1,0,AC,AC,library,0,1,0,0,1,0,0,0
1,1,Implies;Holds;Lisa has an essay to finish;Mostly;Holds;She will study late in the library/Holds;Lisa has an essay to finish,Holds;Lisa will study late in the library|Not;Holds;Lisa will study late in the library,nonmonotonic,single-choice,Holds;Lisa will study late in the library,Lisa will study late in the library,1,pos,pos,B2,0,Lisa will not study late in the library,Lisa will study late in the library,cautPrem,y,m,18,pos,81,None,13,MP,2499,4343,6510,Answer,Likely,Continue,81,High School,1,0,0,0,MP,MP,library,0,1,0,1,0,1,0,0
1,2,Implies;Holds;Lisa has an essay to finish;Mostly;Holds;She will study late in the library/Not;Holds;Lisa has an essay to finish,Holds;Lisa will study late in the library|Not;Holds;Lisa will study late in the library,nonmonotonic,single-choice,Not;Holds;Lisa will study late in the library,Lisa will not study late in the library,1,neg,neg,B2,0,Lisa will not study late in the library,Lisa will study late in the library,cautPrem,y,m,18,neg,74,None,14,DA,10268,11590,12650,Answer,Likely,Continue,74,High School,0,1,0,0,DA,DA,library,0,1,0,2,0,0,1,0
1,3,Implies;Holds;Lisa has an essay to finish;Mostly;Holds;She will study late in the library/Not;Holds;Lisa will study late in the library,Holds;Lisa has an essay to finish|Not;Holds;Lisa has an essay to finish,nonmonotonic,single-choice,Not;Holds;Lisa has an essay to finish,Lisa does not have an essay to finish,1,neg,neg,B2,0,Lisa does not have an essay to finish,Lisa has an essay to finish,cautPrem,y,m,18,neg,54,None,16,MT,7207,10158,11609,Answer,Likely,Continue,54,High School,0,0,0,1,MT,MT,library,0,1,0,3,0,0,0,1
1,4,Implies;Holds;There is excess of food for her species;Mostly;Holds;Kira will mate/Holds;Kira mated,Holds;There is excess of food for Kira's species|Not;Holds;There is excess of food for Kira's species,nonmonotonic,single-choice,Holds;There is excess of food for Kira's species,There is excess of food for Kira's species,1,pos,pos,B1,alienInt,There is no excess of food for Kira's species,There is excess of food for Kira's species,cautPrem,y,m,18,pos,81,None,11,AC,10522,13019,14177,Answer,Likely,Continue,81,High School,0,0,1,0,AC,AC,alien,1,0,1,0,1,0,0,0
1,5,Implies;Holds;There is excess of food for her species;Mostly;Holds;Kira will mate/Not;Holds;Kira mated,Holds;There is excess of food for Kira's species|Not;Holds;There is excess of food for Kira's species,nonmonotonic,single-choice,Not;Holds;There is excess of food for Kira's species,There is no excess of food for Kira's species,1,neg,neg,B1,alienInt,There is no excess of food for Kira's species,There is excess of food for Kira's species,cautPrem,y,m,18,neg,65,None,12,MT,4294,10633,11891,Answer,Likely,Continue,65,High School,0,0,0,1,MT,MT,alien,1,0,1,1,0,1,0,0
1,6,Implies;Holds;There is excess of food for her species;Mostly;Holds;Kira will mate/Holds;There is excess of food for her species,Holds;Kira will mate|Not;Holds;Kira will mate,nonmonotonic,single-choice,Holds;Kira will mate,Kira will mate,1,pos,pos,B1,alienInt,Kira will not mate,Kira will mate,cautPrem,y,m,18,pos,85,None,9,MP,3352,5049,6027,Answer,Likely,Continue,85,High School,1,0,0,0,MP,MP,alien,1,0,1,2,0,0,1,0
1,7,Implies;Holds;There is excess of food for her species;Mostly;Holds;Kira will mate/Not;Holds;There is excess of food for her species,Holds;Kira will mate|Not;Holds;Kira will mate,nonmonotonic,single-choice,Not;Holds;Kira will mate,Kira will not mate,1,neg,neg,B1,alienInt,Kira will not mate,Kira will mate,cautPrem,y,m,18,neg,69,None,10,DA,2601,3955,5113,Answer,Likely,Continue,69,High School,0,1,0,0,DA,DA,alien,1,0,1,3,0,0,0,1
2,0,Implies;Holds;There is excess of food for her species;Mostly;Holds;Kira will mate/Holds;There is excess of food for her species,Holds;Kira will mate|Not;Holds;Kira will mate,nonmonotonic,single-choice,Holds;Kira will mate,Kira will mate,1,pos,pos,B1,alienInt,Kira will not mate,Kira will mate,cautPrem,y,m,38,pos,92,None,9,MP,10757,13166,21130,Answer,Likely,Continue,90,High School,1,0,0,0,MP,MP,alien,0,1,0,0,1,0,0,0
2,1,Implies;Holds;There is excess of food for her species;Mostly;Holds;Kira will mate/Not;Holds;Kira mated,Holds;There is excess of food for Kira's species|Not;Holds;There is excess of food for Kira's species,nonmonotonic,single-choice,Not;Holds;There is excess of food for Kira's species,There is no excess of food for Kira's species,0,neg,neg,B1,alienInt,There is no excess of food for Kira's species,There is excess of food for Kira's species,cautPrem,y,m,38,pos,56,None,12,other,10930,18816,26434,Answer,Likely,Continue,50,High School,0,0,0,1,MT,other,alien,0,1,0,1,0,1,0,0
