roi	mniidx	vpnum	run	scannum	x	y	z	intensity	task_type	premisse	time	valid
actr_goal_R.mni	1	md1vp01v	1	NA	0	4	44	680	R	1	3500	0
actr_goal_R.mni	2	md1vp01v	1	NA	4	12	36	735	R	1	3500	0
actr_goal_R.mni	3	md1vp01v	1	NA	8	8	40	730	R	1	3500	0
actr_goal_R.mni	4	md1vp01v	1	NA	4	4	48	666	R	1	3500	0
actr_goal_R.mni	5	md1vp01v	1	NA	0	12	48	658	R	1	3500	0
actr_goal_R.mni	6	md1vp01v	1	NA	4	12	40	749	R	1	3500	0
actr_goal_R.mni	7	md1vp01v	1	NA	4	8	48	689	R	1	3500	0
actr_goal_R.mni	8	md1vp01v	1	NA	12	12	48	518	R	1	3500	0
actr_goal_R.mni	9	md1vp01v	1	NA	0	4	40	681	R	1	3500	0
actr_goal_R.mni	10	md1vp01v	1	NA	8	4	36	625	R	1	3500	0
actr_goal_R.mni	11	md1vp01v	1	NA	12	8	44	554	R	1	3500	0
actr_goal_R.mni	12	md1vp01v	1	NA	12	8	40	651	R	1	3500	0
actr_goal_R.mni	13	md1vp01v	1	NA	4	12	44	745	R	1	3500	0
actr_goal_R.mni	14	md1vp01v	1	NA	12	8	36	614	R	1	3500	0
actr_goal_R.mni	15	md1vp01v	1	NA	12	4	36	511	R	1	3500	0
actr_goal_R.mni	16	md1vp01v	1	NA	0	8	44	677	R	1	3500	0
actr_goal_R.mni	17	md1vp01v	1	NA	8	8	44	707	R	1	3500	0
actr_goal_R.mni	18	md1vp01v	1	NA	0	8	48	646	R	1	3500	0
actr_goal_R.mni	19	md1vp01v	1	NA	8	8	36	654	R	1	3500	0
actr_goal_R.mni	20	md1vp01v	1	NA	8	12	36	770	R	1	3500	0
actr_goal_R.mni	21	md1vp01v	1	NA	0	12	44	707	R	1	3500	0
actr_goal_R.mni	22	md1vp01v	1	NA	12	4	44	486	R	1	3500	0
actr_goal_R.mni	23	md1vp01v	1	NA	4	4	40	686	R	1	3500	0
actr_goal_R.mni	24	md1vp01v	1	NA	12	4	48	446	R	1	3500	0
actr_goal_R.mni	25	md1vp01v	1	NA	8	12	48	609	R	1	3500	0
actr_goal_R.mni	26	md1vp01v	1	NA	12	12	36	647	R	1	3500	0
actr_goal_R.mni	27	md1vp01v	1	NA	0	8	40	683	R	1	3500	0
actr_goal_R.mni	28	md1vp01v	1	NA	4	8	40	670	R	1	3500	0
actr_goal_R.mni	29	md1vp01v	1	NA	8	4	44	630	R	1	3500	0
actr_goal_R.mni	30	md1vp01v	1	NA	4	4	36	743	R	1	3500	0
actr_goal_R.mni	31	md1vp01v	1	NA	0	12	36	742	R	1	3500	0
actr_goal_R.mni	32	md1vp01v	1	NA	8	12	44	748	R	1	3500	0
actr_goal_R.mni	33	md1vp01v	1	NA	12	12	40	667	R	1	3500	0
actr_goal_R.mni	34	md1vp01v	1	NA	8	4	48	631	R	1	3500	0
actr_goal_R.mni	35	md1vp01v	1	NA	8	8	48	572	R	1	3500	0
actr_goal_R.mni	36	md1vp01v	1	NA	12	4	40	527	R	1	3500	0
actr_goal_R.mni	37	md1vp01v	1	NA	12	12	44	599	R	1	3500	0
actr_goal_R.mni	38	md1vp01v	1	NA	8	12	40	772	R	1	3500	0
actr_goal_R.mni	39	md1vp01v	1	NA	4	8	44	713	R	1	3500	0
actr_goal_R.mni	40	md1vp01v	1	NA	0	4	36	762	R	1	3500	0
actr_goal_R.mni	41	md1vp01v	1	NA	0	8	36	703	R	1	3500	0
actr_goal_R.mni	42	md1vp01v	1	NA	4	12	48	699	R	1	3500	0
actr_goal_R.mni	43	md1vp01v	1	NA	0	4	48	677	R	1	3500	0
actr_goal_R.mni	44	md1vp01v	1	NA	4	4	44	682	R	1	3500	0
actr_goal_R.mni	45	md1vp01v	1	NA	4	8	36	715	R	1	3500	0
actr_goal_R.mni	46	md1vp01v	1	NA	12	8	48	481	R	1	3500	0
actr_goal_R.mni	47	md1vp01v	1	NA	0	12	40	729	R	1	3500	0
actr_goal_R.mni	48	md1vp01v	1	NA	8	4	40	632	R	1	3500	0
actr_goal_R.mni	1	md1vp01v	1	NA	12	12	44	615	R	2	3500	0
actr_goal_R.mni	2	md1vp01v	1	NA	8	8	48	570	R	2	3500	0
actr_goal_R.mni	3	md1vp01v	1	NA	0	8	40	698	R	2	3500	0
actr_goal_R.mni	4	md1vp01v	1	NA	4	4	40	669	R	2	3500	0
actr_goal_R.mni	5	md1vp01v	1	NA	0	12	40	709	R	2	3500	0
actr_goal_R.mni	6	md1vp01v	1	NA	12	4	40	522	R	2	3500	0
actr_goal_R.mni	7	md1vp01v	1	NA	4	8	40	684	R	2	3500	0
actr_goal_R.mni	8	md1vp01v	1	NA	4	4	48	652	R	2	3500	0
actr_goal_R.mni	9	md1vp01v	1	NA	4	4	44	659	R	2	3500	0
actr_goal_R.mni	10	md1vp01v	1	NA	0	4	36	733	R	2	3500	0
actr_goal_R.mni	11	md1vp01v	1	NA	8	12	44	743	R	2	3500	0
actr_goal_R.mni	12	md1vp01v	1	NA	12	8	44	560	R	2	3500	0
actr_goal_R.mni	13	md1vp01v	1	NA	8	4	40	624	R	2	3500	0
actr_goal_R.mni	14	md1vp01v	1	NA	4	4	36	718	R	2	3500	0
actr_goal_R.mni	15	md1vp01v	1	NA	0	8	36	691	R	2	3500	0
actr_goal_R.mni	16	md1vp01v	1	NA	0	12	48	658	R	2	3500	0
actr_goal_R.mni	17	md1vp01v	1	NA	4	12	40	746	R	2	3500	0
actr_goal_R.mni	18	md1vp01v	1	NA	0	4	44	649	R	2	3500	0
actr_goal_R.mni	19	md1vp01v	1	NA	8	8	36	658	R	2	3500	0
actr_goal_R.mni	20	md1vp01v	1	NA	0	4	48	672	R	2	3500	0
actr_goal_R.mni	21	md1vp01v	1	NA	0	8	44	705	R	2	3500	0
actr_goal_R.mni	22	md1vp01v	1	NA	8	8	44	692	R	2	3500	0
actr_goal_R.mni	23	md1vp01v	1	NA	12	8	36	584	R	2	3500	0
actr_goal_R.mni	24	md1vp01v	1	NA	4	12	44	748	R	2	3500	0
actr_goal_R.mni	25	md1vp01v	1	NA	4	8	44	727	R	2	3500	0
actr_goal_R.mni	26	md1vp01v	1	NA	4	12	36	724	R	2	3500	0
actr_goal_R.mni	27	md1vp01v	1	NA	4	8	48	700	R	2	3500	0
actr_goal_R.mni	28	md1vp01v	1	NA	8	12	36	781	R	2	3500	0
actr_goal_R.mni	29	md1vp01v	1	NA	4	8	36	716	R	2	3500	0
actr_goal_R.mni	30	md1vp01v	1	NA	8	12	48	622	R	2	3500	0
actr_goal_R.mni	31	md1vp01v	1	NA	0	8	48	631	R	2	3500	0
actr_goal_R.mni	32	md1vp01v	1	NA	0	12	44	712	R	2	3500	0
actr_goal_R.mni	33	md1vp01v	1	NA	0	4	40	669	R	2	3500	0
actr_goal_R.mni	34	md1vp01v	1	NA	0	12	36	714	R	2	3500	0
actr_goal_R.mni	35	md1vp01v	1	NA	8	12	40	787	R	2	3500	0
actr_goal_R.mni	36	md1vp01v	1	NA	12	4	44	487	R	2	3500	0
actr_goal_R.mni	37	md1vp01v	1	NA	12	12	48	530	R	2	3500	0
actr_goal_R.mni	38	md1vp01v	1	NA	4	12	48	702	R	2	3500	0
actr_goal_R.mni	39	md1vp01v	1	NA	12	8	48	488	R	2	3500	0
actr_goal_R.mni	40	md1vp01v	1	NA	12	4	48	451	R	2	3500	0
actr_goal_R.mni	41	md1vp01v	1	NA	8	8	40	722	R	2	3500	0
actr_goal_R.mni	42	md1vp01v	1	NA	8	4	48	624	R	2	3500	0
actr_goal_R.mni	43	md1vp01v	1	NA	12	12	36	640	R	2	3500	0
actr_goal_R.mni	44	md1vp01v	1	NA	8	4	36	613	R	2	3500	0
actr_goal_R.mni	45	md1vp01v	1	NA	8	4	44	624	R	2	3500	0
actr_goal_R.mni	46	md1vp01v	1	NA	12	12	40	654	R	2	3500	0
actr_goal_R.mni	47	md1vp01v	1	NA	12	8	40	628	R	2	3500	0
actr_goal_R.mni	48	md1vp01v	1	NA	12	4	36	511	R	2	3500	0
actr_goal_R.mni	1	md1vp01v	1	NA	8	4	48	608	R	3	3500	0
actr_goal_R.mni	2	md1vp01v	1	NA	8	4	36	632	R	3	3500	0
actr_goal_R.mni	3	md1vp01v	1	NA	0	12	44	692	R	3	3500	0
actr_goal_R.mni	4	md1vp01v	1	NA	12	4	44	467	R	3	3500	0
actr_goal_R.mni	5	md1vp01v	1	NA	12	4	40	533	R	3	3500	0
actr_goal_R.mni	6	md1vp01v	1	NA	0	12	40	700	R	3	3500	0
actr_goal_R.mni	7	md1vp01v	1	NA	4	12	44	723	R	3	3500	0
actr_goal_R.mni	8	md1vp01v	1	NA	8	8	48	547	R	3	3500	0
actr_goal_R.mni	9	md1vp01v	1	NA	0	8	40	669	R	3	3500	0
actr_goal_R.mni	10	md1vp01v	1	NA	0	12	48	646	R	3	3500	0
actr_goal_R.mni	11	md1vp01v	1	NA	12	8	44	544	R	3	3500	0
actr_goal_R.mni	12	md1vp01v	1	NA	8	4	40	636	R	3	3500	0
actr_goal_R.mni	13	md1vp01v	1	NA	12	12	40	633	R	3	3500	0
actr_goal_R.mni	14	md1vp01v	1	NA	4	4	36	739	R	3	3500	0
actr_goal_R.mni	15	md1vp01v	1	NA	0	4	36	761	R	3	3500	0
actr_goal_R.mni	16	md1vp01v	1	NA	12	8	36	604	R	3	3500	0
actr_goal_R.mni	17	md1vp01v	1	NA	4	8	48	705	R	3	3500	0
actr_goal_R.mni	18	md1vp01v	1	NA	4	12	40	723	R	3	3500	0
actr_goal_R.mni	19	md1vp01v	1	NA	0	12	36	745	R	3	3500	0
actr_goal_R.mni	20	md1vp01v	1	NA	0	8	36	690	R	3	3500	0
actr_goal_R.mni	21	md1vp01v	1	NA	8	4	44	613	R	3	3500	0
actr_goal_R.mni	22	md1vp01v	1	NA	0	4	44	676	R	3	3500	0
actr_goal_R.mni	23	md1vp01v	1	NA	8	12	48	613	R	3	3500	0
actr_goal_R.mni	24	md1vp01v	1	NA	0	8	48	650	R	3	3500	0
actr_goal_R.mni	25	md1vp01v	1	NA	8	12	36	783	R	3	3500	0
actr_goal_R.mni	26	md1vp01v	1	NA	8	8	44	681	R	3	3500	0
actr_goal_R.mni	27	md1vp01v	1	NA	12	8	40	636	R	3	3500	0
actr_goal_R.mni	28	md1vp01v	1	NA	8	8	36	691	R	3	3500	0
actr_goal_R.mni	29	md1vp01v	1	NA	0	8	44	692	R	3	3500	0
actr_goal_R.mni	30	md1vp01v	1	NA	12	8	48	445	R	3	3500	0
actr_goal_R.mni	31	md1vp01v	1	NA	4	8	36	725	R	3	3500	0
