roi	mniidx	vpnum	run	scannum	x	y	z	intensity	task_type	premisse	time	valid
actr_imaginal_L.mni	1	md1vp01v	1	NA	-28	-68	32	799	R	1	3500	0
actr_imaginal_L.mni	2	md1vp01v	1	NA	-20	-72	36	1033	R	1	3500	0
actr_imaginal_L.mni	3	md1vp01v	1	NA	-16	-72	36	985	R	1	3500	0
actr_imaginal_L.mni	4	md1vp01v	1	NA	-20	-64	28	896	R	1	3500	0
actr_imaginal_L.mni	5	md1vp01v	1	NA	-28	-72	28	854	R	1	3500	0
actr_imaginal_L.mni	6	md1vp01v	1	NA	-24	-64	36	675	R	1	3500	0
actr_imaginal_L.mni	7	md1vp01v	1	NA	-20	-68	36	902	R	1	3500	0
actr_imaginal_L.mni	8	md1vp01v	1	NA	-16	-64	32	673	R	1	3500	0
actr_imaginal_L.mni	9	md1vp01v	1	NA	-24	-68	36	663	R	1	3500	0
actr_imaginal_L.mni	10	md1vp01v	1	NA	-20	-72	28	812	R	1	3500	0
actr_imaginal_L.mni	11	md1vp01v	1	NA	-16	-68	28	956	R	1	3500	0
actr_imaginal_L.mni	12	md1vp01v	1	NA	-28	-68	28	788	R	1	3500	0
actr_imaginal_L.mni	13	md1vp01v	1	NA	-24	-64	32	675	R	1	3500	0
actr_imaginal_L.mni	14	md1vp01v	1	NA	-24	-72	36	743	R	1	3500	0
actr_imaginal_L.mni	15	md1vp01v	1	NA	-20	-68	28	961	R	1	3500	0
actr_imaginal_L.mni	16	md1vp01v	1	NA	-28	-64	36	704	R	1	3500	0
actr_imaginal_L.mni	17	md1vp01v	1	NA	-24	-68	28	602	R	1	3500	0
actr_imaginal_L.mni	18	md1vp01v	1	NA	-28	-64	28	862	R	1	3500	0
actr_imaginal_L.mni	19	md1vp01v	1	NA	-16	-68	32	781	R	1	3500	0
actr_imaginal_L.mni	20	md1vp01v	1	NA	-16	-72	28	983	R	1	3500	0
actr_imaginal_L.mni	21	md1vp01v	1	NA	-24	-64	28	621	R	1	3500	0
actr_imaginal_L.mni	22	md1vp01v	1	NA	-24	-72	28	699	R	1	3500	0
actr_imaginal_L.mni	23	md1vp01v	1	NA	-20	-68	32	962	R	1	3500	0
actr_imaginal_L.mni	24	md1vp01v	1	NA	-16	-72	32	927	R	1	3500	0
actr_imaginal_L.mni	25	md1vp01v	1	NA	-20	-64	32	746	R	1	3500	0
actr_imaginal_L.mni	26	md1vp01v	1	NA	-24	-68	32	677	R	1	3500	0
actr_imaginal_L.mni	27	md1vp01v	1	NA	-28	-72	36	783	R	1	3500	0
actr_imaginal_L.mni	28	md1vp01v	1	NA	-16	-64	36	658	R	1	3500	0
actr_imaginal_L.mni	29	md1vp01v	1	NA	-16	-64	28	863	R	1	3500	0
actr_imaginal_L.mni	30	md1vp01v	1	NA	-24	-72	32	705	R	1	3500	0
actr_imaginal_L.mni	31	md1vp01v	1	NA	-28	-68	36	792	R	1	3500	0
