roi	mniidx	vpnum	run	scannum	x	y	z	intensity	task_type	premisse	time	valid
actr_retrieval_L.mni	1	md1vp01v	1	NA	-40	24	24	564	R	1	3500	0
actr_retrieval_L.mni	2	md1vp01v	1	NA	-44	28	24	730	R	1	3500	0
actr_retrieval_L.mni	3	md1vp01v	1	NA	-36	28	28	529	R	1	3500	0
actr_retrieval_L.mni	4	md1vp01v	1	NA	-44	20	20	767	R	1	3500	0
actr_retrieval_L.mni	5	md1vp01v	1	NA	-44	20	28	670	R	1	3500	0
actr_retrieval_L.mni	6	md1vp01v	1	NA	-36	16	20	793	R	1	3500	0
actr_retrieval_L.mni	7	md1vp01v	1	NA	-40	20	20	743	R	1	3500	0
actr_retrieval_L.mni	8	md1vp01v	1	NA	-36	20	20	725	R	1	3500	0
actr_retrieval_L.mni	9	md1vp01v	1	NA	-40	28	20	777	R	1	3500	0
actr_retrieval_L.mni	10	md1vp01v	1	NA	-44	16	24	736	R	1	3500	0
actr_retrieval_L.mni	11	md1vp01v	1	NA	-40	28	24	656	R	1	3500	0
actr_retrieval_L.mni	12	md1vp01v	1	NA	-40	28	28	594	R	1	3500	0
actr_retrieval_L.mni	13	md1vp01v	1	NA	-36	24	24	536	R	1	3500	0
actr_retrieval_L.mni	14	md1vp01v	1	NA	-36	28	24	563	R	1	3500	0
actr_retrieval_L.mni	15	md1vp01v	1	NA	-40	16	28	618	R	1	3500	0
actr_retrieval_L.mni	16	md1vp01v	1	NA	-40	16	20	789	R	1	3500	0
actr_retrieval_L.mni	17	md1vp01v	1	NA	-44	24	28	586	R	1	3500	0
actr_retrieval_L.mni	18	md1vp01v	1	NA	-44	16	20	844	R	1	3500	0
actr_retrieval_L.mni	19	md1vp01v	1	NA	-36	16	24	643	R	1	3500	0
actr_retrieval_L.mni	20	md1vp01v	1	NA	-44	20	24	680	R	1	3500	0
actr_retrieval_L.mni	21	md1vp01v	1	NA	-36	24	28	578	R	1	3500	0
actr_retrieval_L.mni	22	md1vp01v	1	NA	-40	20	24	660	R	1	3500	0
actr_retrieval_L.mni	23	md1vp01v	1	NA	-36	20	24	602	R	1	3500	0
actr_retrieval_L.mni	24	md1vp01v	1	NA	-36	20	28	564	R	1	3500	0
actr_retrieval_L.mni	25	md1vp01v	1	NA	-44	24	24	598	R	1	3500	0
actr_retrieval_L.mni	26	md1vp01v	1	NA	-44	28	28	706	R	1	3500	0
actr_retrieval_L.mni	27	md1vp01v	1	NA	-36	24	20	650	R	1	3500	0
actr_retrieval_L.mni	28	md1vp01v	1	NA	-44	24	20	798	R	1	3500	0
actr_retrieval_L.mni	29	md1vp01v	1	NA	-40	24	28	614	R	1	3500	0
actr_retrieval_L.mni	30	md1vp01v	1	NA	-44	16	28	705	R	1	3500	0
actr_retrieval_L.mni	31	md1vp01v	1	NA	-36	16	28	503	R	1	3500	0
actr_retrieval_L.mni	32	md1vp01v	1	NA	-40	24	20	763	R	1	3500	0
actr_retrieval_L.mni	33	md1vp01v	1	NA	-40	16	24	686	R	1	3500	0
actr_retrieval_L.mni	34	md1vp01v	1	NA	-44	28	20	803	R	1	3500	0
actr_retrieval_L.mni	35	md1vp01v	1	NA	-36	28	20	606	R	1	3500	0
actr_retrieval_L.mni	36	md1vp01v	1	NA	-40	20	28	648	R	1	3500	0
actr_retrieval_L.mni	1	md1vp01v	1	NA	-40	16	20	778	R	2	3500	0
actr_retrieval_L.mni	2	md1vp01v	1	NA	-40	24	20	769	R	2	3500	0
actr_retrieval_L.mni	3	md1vp01v	1	NA	-36	20	28	593	R	2	3500	0
actr_retrieval_L.mni	4	md1vp01v	1	NA	-44	28	20	832	R	2	3500	0
actr_retrieval_L.mni	5	md1vp01v	1	NA	-40	24	28	630	R	2	3500	0
actr_retrieval_L.mni	6	md1vp01v	1	NA	-40	28	24	701	R	2	3500	0
actr_retrieval_L.mni	7	md1vp01v	1	NA	-40	20	24	657	R	2	3500	0
actr_retrieval_L.mni	8	md1vp01v	1	NA	-44	24	20	797	R	2	3500	0
actr_retrieval_L.mni	9	md1vp01v	1	NA	-40	20	20	719	R	2	3500	0
actr_retrieval_L.mni	10	md1vp01v	1	NA	-44	20	20	748	R	2	3500	0
actr_retrieval_L.mni	11	md1vp01v	1	NA	-44	16	24	763	R	2	3500	0
actr_retrieval_L.mni	12	md1vp01v	1	NA	-36	28	28	541	R	2	3500	0
actr_retrieval_L.mni	13	md1vp01v	1	NA	-36	16	20	777	R	2	3500	0
actr_retrieval_L.mni	14	md1vp01v	1	NA	-36	28	24	574	R	2	3500	0
