roi	mniidx	vpnum	run	scannum	x	y	z	intensity	task_type	premisse	time	valid
fangm_acc_R.mni	1	md1vp01v	1	NA	28	12	48	564	R	1	3500	0
fangm_acc_R.mni	2	md1vp01v	1	NA	24	4	56	593	R	1	3500	0
fangm_acc_R.mni	3	md1vp01v	1	NA	24	0	56	660	R	1	3500	0
fangm_acc_R.mni	4	md1vp01v	1	NA	28	4	48	529	R	1	3500	0
fangm_acc_R.mni	5	md1vp01v	1	NA	24	12	44	738	R	1	3500	0
fangm_acc_R.mni	6	md1vp01v	1	NA	28	4	52	526	R	1	3500	0
fangm_acc_R.mni	7	md1vp01v	1	NA	24	8	52	658	R	1	3500	0
fangm_acc_R.mni	8	md1vp01v	1	NA	12	4	52	442	R	1	3500	0
fangm_acc_R.mni	9	md1vp01v	1	NA	32	20	44	545	R	1	3500	0
fangm_acc_R.mni	10	md1vp01v	1	NA	24	8	48	710	R	1	3500	0
fangm_acc_R.mni	11	md1vp01v	1	NA	28	20	44	656	R	1	3500	0
fangm_acc_R.mni	12	md1vp01v	1	NA	24	20	40	718	R	1	3500	0
fangm_acc_R.mni	13	md1vp01v	1	NA	28	12	52	578	R	1	3500	0
fangm_acc_R.mni	14	md1vp01v	1	NA	28	20	40	590	R	1	3500	0
fangm_acc_R.mni	15	md1vp01v	1	NA	16	8	48	623	R	1	3500	0
fangm_acc_R.mni	16	md1vp01v	1	NA	20	4	44	630	R	1	3500	0
fangm_acc_R.mni	17	md1vp01v	1	NA	24	4	44	561	R	1	3500	0
fangm_acc_R.mni	18	md1vp01v	1	NA	12	12	44	599	R	1	3500	0
fangm_acc_R.mni	19	md1vp01v	1	NA	24	-4	56	693	R	1	3500	0
fangm_acc_R.mni	20	md1vp01v	1	NA	20	16	48	537	R	1	3500	0
fangm_acc_R.mni	21	md1vp01v	1	NA	20	20	44	782	R	1	3500	0
fangm_acc_R.mni	22	md1vp01v	1	NA	20	0	52	755	R	1	3500	0
fangm_acc_R.mni	23	md1vp01v	1	NA	24	12	52	691	R	1	3500	0
fangm_acc_R.mni	24	md1vp01v	1	NA	24	4	52	538	R	1	3500	0
fangm_acc_R.mni	25	md1vp01v	1	NA	28	8	48	552	R	1	3500	0
fangm_acc_R.mni	26	md1vp01v	1	NA	20	12	52	533	R	1	3500	0
fangm_acc_R.mni	27	md1vp01v	1	NA	24	4	48	556	R	1	3500	0
fangm_acc_R.mni	28	md1vp01v	1	NA	16	12	44	449	R	1	3500	0
fangm_acc_R.mni	29	md1vp01v	1	NA	20	8	44	610	R	1	3500	0
fangm_acc_R.mni	30	md1vp01v	1	NA	20	8	52	656	R	1	3500	0
fangm_acc_R.mni	31	md1vp01v	1	NA	24	16	44	738	R	1	3500	0
