roi	mniidx	vpnum	run	scannum	x	y	z	intensity	task_type	premisse	time	valid
actr_production_R.mni	1	md1vp01v	1	NA	20	4	8	610	R	1	3500	0
actr_production_R.mni	2	md1vp01v	1	NA	12	4	4	612	R	1	3500	0
actr_production_R.mni	3	md1vp01v	1	NA	20	8	8	581	R	1	3500	0
actr_production_R.mni	4	md1vp01v	1	NA	12	12	0	732	R	1	3500	0
actr_production_R.mni	5	md1vp01v	1	NA	16	12	4	722	R	1	3500	0
actr_production_R.mni	6	md1vp01v	1	NA	12	8	4	740	R	1	3500	0
actr_production_R.mni	7	md1vp01v	1	NA	12	4	8	797	R	1	3500	0
actr_production_R.mni	8	md1vp01v	1	NA	16	4	0	531	R	1	3500	0
actr_production_R.mni	9	md1vp01v	1	NA	20	12	4	604	R	1	3500	0
actr_production_R.mni	10	md1vp01v	1	NA	12	4	0	436	R	1	3500	0
actr_production_R.mni	11	md1vp01v	1	NA	20	4	0	750	R	1	3500	0
actr_production_R.mni	12	md1vp01v	1	NA	16	8	0	515	R	1	3500	0
actr_production_R.mni	13	md1vp01v	1	NA	16	8	8	687	R	1	3500	0
actr_production_R.mni	14	md1vp01v	1	NA	20	12	8	598	R	1	3500	0
actr_production_R.mni	15	md1vp01v	1	NA	16	8	4	593	R	1	3500	0
actr_production_R.mni	16	md1vp01v	1	NA	12	12	8	934	R	1	3500	0
actr_production_R.mni	17	md1vp01v	1	NA	20	8	4	611	R	1	3500	0
actr_production_R.mni	18	md1vp01v	1	NA	20	4	4	678	R	1	3500	0
actr_production_R.mni	19	md1vp01v	1	NA	16	12	0	690	R	1	3500	0
actr_production_R.mni	20	md1vp01v	1	NA	16	12	8	680	R	1	3500	0
actr_production_R.mni	21	md1vp01v	1	NA	12	8	8	860	R	1	3500	0
actr_production_R.mni	22	md1vp01v	1	NA	12	12	4	683	R	1	3500	0
actr_production_R.mni	23	md1vp01v	1	NA	16	4	4	560	R	1	3500	0
actr_production_R.mni	24	md1vp01v	1	NA	16	4	8	620	R	1	3500	0
actr_production_R.mni	25	md1vp01v	1	NA	12	8	0	609	R	1	3500	0
actr_production_R.mni	26	md1vp01v	1	NA	20	12	0	612	R	1	3500	0
actr_production_R.mni	27	md1vp01v	1	NA	20	8	0	656	R	1	3500	0
actr_production_R.mni	1	md1vp01v	1	NA	12	12	0	741	R	2	3500	0
actr_production_R.mni	2	md1vp01v	1	NA	16	4	0	559	R	2	3500	0
actr_production_R.mni	3	md1vp01v	1	NA	12	8	8	850	R	2	3500	0
actr_production_R.mni	4	md1vp01v	1	NA	12	4	4	597	R	2	3500	0
actr_production_R.mni	5	md1vp01v	1	NA	16	8	8	700	R	2	3500	0
actr_production_R.mni	6	md1vp01v	1	NA	16	8	0	527	R	2	3500	0
actr_production_R.mni	7	md1vp01v	1	NA	20	4	8	617	R	2	3500	0
actr_production_R.mni	8	md1vp01v	1	NA	20	12	8	575	R	2	3500	0
actr_production_R.mni	9	md1vp01v	1	NA	20	12	0	613	R	2	3500	0
actr_production_R.mni	10	md1vp01v	1	NA	16	12	4	698	R	2	3500	0
actr_production_R.mni	11	md1vp01v	1	NA	12	12	4	673	R	2	3500	0
actr_production_R.mni	12	md1vp01v	1	NA	16	12	0	683	R	2	3500	0
actr_production_R.mni	13	md1vp01v	1	NA	12	8	0	595	R	2	3500	0
actr_production_R.mni	14	md1vp01v	1	NA	20	8	0	644	R	2	3500	0
actr_production_R.mni	15	md1vp01v	1	NA	12	8	4	723	R	2	3500	0
actr_production_R.mni	16	md1vp01v	1	NA	12	4	8	729	R	2	3500	0
actr_production_R.mni	17	md1vp01v	1	NA	20	8	4	598	R	2	3500	0
actr_production_R.mni	18	md1vp01v	1	NA	12	4	0	454	R	2	3500	0
actr_production_R.mni	19	md1vp01v	1	NA	16	8	4	588	R	2	3500	0
actr_production_R.mni	20	md1vp01v	1	NA	16	4	4	547	R	2	3500	0
actr_production_R.mni	21	md1vp01v	1	NA	16	12	8	649	R	2	3500	0
actr_production_R.mni	22	md1vp01v	1	NA	20	4	0	754	R	2	3500	0
actr_production_R.mni	23	md1vp01v	1	NA	16	4	8	672	R	2	3500	0
actr_production_R.mni	24	md1vp01v	1	NA	20	8	8	579	R	2	3500	0
actr_production_R.mni	25	md1vp01v	1	NA	12	12	8	928	R	2	3500	0
actr_production_R.mni	26	md1vp01v	1	NA	20	4	4	642	R	2	3500	0
actr_production_R.mni	27	md1vp01v	1	NA	20	12	4	592	R	2	3500	0
actr_production_R.mni	1	md1vp01v	1	NA	16	12	8	646	R	3	3500	0
actr_production_R.mni	2	md1vp01v	1	NA	20	4	0	734	R	3	3500	0
actr_production_R.mni	3	md1vp01v	1	NA	16	4	0	536	R	3	3500	0
actr_production_R.mni	4	md1vp01v	1	NA	16	12	4	688	R	3	3500	0
actr_production_R.mni	5	md1vp01v	1	NA	12	8	0	637	R	3	3500	0
actr_production_R.mni	6	md1vp01v	1	NA	20	12	0	610	R	3	3500	0
actr_production_R.mni	7	md1vp01v	1	NA	12	8	4	687	R	3	3500	0
actr_production_R.mni	8	md1vp01v	1	NA	12	12	8	900	R	3	3500	0
actr_production_R.mni	9	md1vp01v	1	NA	16	4	8	640	R	3	3500	0
actr_production_R.mni	10	md1vp01v	1	NA	20	8	4	603	R	3	3500	0
actr_production_R.mni	11	md1vp01v	1	NA	16	8	4	580	R	3	3500	0
actr_production_R.mni	12	md1vp01v	1	NA	12	8	8	771	R	3	3500	0
actr_production_R.mni	13	md1vp01v	1	NA	20	12	8	601	R	3	3500	0
actr_production_R.mni	14	md1vp01v	1	NA	20	8	8	573	R	3	3500	0
actr_production_R.mni	15	md1vp01v	1	NA	12	12	0	733	R	3	3500	0
actr_production_R.mni	16	md1vp01v	1	NA	16	8	0	512	R	3	3500	0
actr_production_R.mni	17	md1vp01v	1	NA	16	8	8	677	R	3	3500	0
actr_production_R.mni	18	md1vp01v	1	NA	20	4	4	654	R	3	3500	0
actr_production_R.mni	19	md1vp01v	1	NA	20	8	0	637	R	3	3500	0
actr_production_R.mni	20	md1vp01v	1	NA	16	4	4	547	R	3	3500	0
