roi	mniidx	vpnum	run	scannum	x	y	z	intensity	task_type	premisse	time	valid
actr_visual_L.mni	1	md1vp01v	1	NA	-44	-60	-12	964	R	1	3500	0
actr_visual_L.mni	2	md1vp01v	1	NA	-36	-60	-12	629	R	1	3500	0
actr_visual_L.mni	3	md1vp01v	1	NA	-36	-56	-16	700	R	1	3500	0
actr_visual_L.mni	4	md1vp01v	1	NA	-44	-68	-16	884	R	1	3500	0
actr_visual_L.mni	5	md1vp01v	1	NA	-40	-64	-16	755	R	1	3500	0
actr_visual_L.mni	6	md1vp01v	1	NA	-36	-64	-12	603	R	1	3500	0
actr_visual_L.mni	7	md1vp01v	1	NA	-36	-60	-16	706	R	1	3500	0
actr_visual_L.mni	8	md1vp01v	1	NA	-40	-56	-16	781	R	1	3500	0
actr_visual_L.mni	9	md1vp01v	1	NA	-40	-68	-12	943	R	1	3500	0
actr_visual_L.mni	10	md1vp01v	1	NA	-40	-56	-12	726	R	1	3500	0
actr_visual_L.mni	11	md1vp01v	1	NA	-48	-56	-12	765	R	1	3500	0
actr_visual_L.mni	12	md1vp01v	1	NA	-48	-68	-16	902	R	1	3500	0
actr_visual_L.mni	13	md1vp01v	1	NA	-40	-60	-12	829	R	1	3500	0
actr_visual_L.mni	14	md1vp01v	1	NA	-48	-68	-12	963	R	1	3500	0
actr_visual_L.mni	15	md1vp01v	1	NA	-36	-68	-12	717	R	1	3500	0
actr_visual_L.mni	16	md1vp01v	1	NA	-40	-64	-12	866	R	1	3500	0
actr_visual_L.mni	17	md1vp01v	1	NA	-40	-68	-16	741	R	1	3500	0
actr_visual_L.mni	18	md1vp01v	1	NA	-48	-60	-12	840	R	1	3500	0
actr_visual_L.mni	19	md1vp01v	1	NA	-44	-56	-16	845	R	1	3500	0
actr_visual_L.mni	20	md1vp01v	1	NA	-36	-68	-16	765	R	1	3500	0
actr_visual_L.mni	21	md1vp01v	1	NA	-48	-64	-12	908	R	1	3500	0
actr_visual_L.mni	22	md1vp01v	1	NA	-48	-64	-16	993	R	1	3500	0
actr_visual_L.mni	23	md1vp01v	1	NA	-36	-56	-12	664	R	1	3500	0
actr_visual_L.mni	24	md1vp01v	1	NA	-44	-56	-12	815	R	1	3500	0
