roi	mniidx	vpnum	run	scannum	x	y	z	intensity	task_type	premisse	time	valid
fangm_apfc_R.mni	1	md1vp01v	1	NA	8	52	0	510	R	1	3500	0
fangm_apfc_R.mni	2	md1vp01v	1	NA	12	52	-4	489	R	1	3500	0
fangm_apfc_R.mni	3	md1vp01v	1	NA	12	56	0	461	R	1	3500	0
fangm_apfc_R.mni	4	md1vp01v	1	NA	16	56	0	495	R	1	3500	0
fangm_apfc_R.mni	5	md1vp01v	1	NA	20	48	0	518	R	1	3500	0
fangm_apfc_R.mni	6	md1vp01v	1	NA	16	52	4	511	R	1	3500	0
fangm_apfc_R.mni	7	md1vp01v	1	NA	16	48	0	457	R	1	3500	0
fangm_apfc_R.mni	8	md1vp01v	1	NA	12	52	0	502	R	1	3500	0
fangm_apfc_R.mni	9	md1vp01v	1	NA	16	52	-4	456	R	1	3500	0
fangm_apfc_R.mni	10	md1vp01v	1	NA	16	52	0	482	R	1	3500	0
fangm_apfc_R.mni	1	md1vp01v	1	NA	12	56	0	467	R	2	3500	0
fangm_apfc_R.mni	2	md1vp01v	1	NA	12	52	0	483	R	2	3500	0
fangm_apfc_R.mni	3	md1vp01v	1	NA	8	52	0	477	R	2	3500	0
fangm_apfc_R.mni	4	md1vp01v	1	NA	16	52	-4	462	R	2	3500	0
fangm_apfc_R.mni	5	md1vp01v	1	NA	16	56	0	474	R	2	3500	0
fangm_apfc_R.mni	6	md1vp01v	1	NA	16	52	0	476	R	2	3500	0
fangm_apfc_R.mni	7	md1vp01v	1	NA	12	52	-4	488	R	2	3500	0
fangm_apfc_R.mni	8	md1vp01v	1	NA	16	52	4	515	R	2	3500	0
fangm_apfc_R.mni	9	md1vp01v	1	NA	20	48	0	561	R	2	3500	0
fangm_apfc_R.mni	10	md1vp01v	1	NA	16	48	0	432	R	2	3500	0
fangm_apfc_R.mni	1	md1vp01v	1	NA	16	52	4	505	R	3	3500	0
fangm_apfc_R.mni	2	md1vp01v	1	NA	16	52	-4	426	R	3	3500	0
fangm_apfc_R.mni	3	md1vp01v	1	NA	12	52	0	503	R	3	3500	0
fangm_apfc_R.mni	4	md1vp01v	1	NA	16	52	0	475	R	3	3500	0
fangm_apfc_R.mni	5	md1vp01v	1	NA	20	48	0	536	R	3	3500	0
fangm_apfc_R.mni	6	md1vp01v	1	NA	16	56	0	464	R	3	3500	0
fangm_apfc_R.mni	7	md1vp01v	1	NA	8	52	0	504	R	3	3500	0
fangm_apfc_R.mni	8	md1vp01v	1	NA	12	56	0	461	R	3	3500	0
fangm_apfc_R.mni	9	md1vp01v	1	NA	12	52	-4	467	R	3	3500	0
fangm_apfc_R.mni	10	md1vp01v	1	NA	16	48	0	449	R	3	3500	0
fangm_apfc_R.mni	1	md1vp01v	1	NA	16	52	-4	466	R	1	2000	0
fangm_apfc_R.mni	2	md1vp01v	1	NA	16	52	4	506	R	1	2000	0
fangm_apfc_R.mni	3	md1vp01v	1	NA	16	56	0	479	R	1	2000	0
fangm_apfc_R.mni	4	md1vp01v	1	NA	16	48	0	468	R	1	2000	0
fangm_apfc_R.mni	5	md1vp01v	1	NA	12	56	0	476	R	1	2000	0
fangm_apfc_R.mni	6	md1vp01v	1	NA	20	48	0	522	R	1	2000	0
fangm_apfc_R.mni	7	md1vp01v	1	NA	8	52	0	511	R	1	2000	0
fangm_apfc_R.mni	8	md1vp01v	1	NA	12	52	0	514	R	1	2000	0
fangm_apfc_R.mni	9	md1vp01v	1	NA	12	52	-4	500	R	1	2000	0
fangm_apfc_R.mni	10	md1vp01v	1	NA	16	52	0	473	R	1	2000	0
fangm_apfc_R.mni	1	md1vp01v	1	NA	12	52	-4	497	R	2	2000	0
fangm_apfc_R.mni	2	md1vp01v	1	NA	16	52	4	519	R	2	2000	0
fangm_apfc_R.mni	3	md1vp01v	1	NA	16	56	0	481	R	2	2000	0
fangm_apfc_R.mni	4	md1vp01v	1	NA	20	48	0	546	R	2	2000	0
fangm_apfc_R.mni	5	md1vp01v	1	NA	16	52	-4	462	R	2	2000	0
fangm_apfc_R.mni	6	md1vp01v	1	NA	12	52	0	505	R	2	2000	0
fangm_apfc_R.mni	7	md1vp01v	1	NA	16	52	0	468	R	2	2000	0
fangm_apfc_R.mni	8	md1vp01v	1	NA	16	48	0	463	R	2	2000	0
