roi	mniidx	vpnum	run	scannum	x	y	z	intensity	task_type	premisse	time	valid
fangm_pfc_L.mni	1	md1vp01v	1	NA	-24	8	48	529	R	1	3500	0
fangm_pfc_L.mni	2	md1vp01v	1	NA	-28	16	48	647	R	1	3500	0
fangm_pfc_L.mni	3	md1vp01v	1	NA	-24	16	48	699	R	1	3500	0
fangm_pfc_L.mni	4	md1vp01v	1	NA	-20	20	44	579	R	1	3500	0
fangm_pfc_L.mni	5	md1vp01v	1	NA	-28	4	48	679	R	1	3500	0
fangm_pfc_L.mni	6	md1vp01v	1	NA	-20	12	44	571	R	1	3500	0
fangm_pfc_L.mni	7	md1vp01v	1	NA	-16	16	40	503	R	1	3500	0
fangm_pfc_L.mni	8	md1vp01v	1	NA	-20	8	52	605	R	1	3500	0
fangm_pfc_L.mni	9	md1vp01v	1	NA	-24	12	44	549	R	1	3500	0
fangm_pfc_L.mni	10	md1vp01v	1	NA	-32	12	48	649	R	1	3500	0
fangm_pfc_L.mni	11	md1vp01v	1	NA	-32	24	44	584	R	1	3500	0
fangm_pfc_L.mni	12	md1vp01v	1	NA	-16	16	48	458	R	1	3500	0
fangm_pfc_L.mni	13	md1vp01v	1	NA	-28	20	44	683	R	1	3500	0
fangm_pfc_L.mni	14	md1vp01v	1	NA	-20	16	48	602	R	1	3500	0
fangm_pfc_L.mni	15	md1vp01v	1	NA	-28	12	48	581	R	1	3500	0
fangm_pfc_L.mni	16	md1vp01v	1	NA	-24	16	44	711	R	1	3500	0
fangm_pfc_L.mni	17	md1vp01v	1	NA	-24	20	44	744	R	1	3500	0
fangm_pfc_L.mni	18	md1vp01v	1	NA	-28	24	44	632	R	1	3500	0
fangm_pfc_L.mni	19	md1vp01v	1	NA	-32	20	44	619	R	1	3500	0
fangm_pfc_L.mni	20	md1vp01v	1	NA	-16	12	52	629	R	1	3500	0
fangm_pfc_L.mni	21	md1vp01v	1	NA	-32	8	48	529	R	1	3500	0
fangm_pfc_L.mni	22	md1vp01v	1	NA	-12	8	52	475	R	1	3500	0
fangm_pfc_L.mni	23	md1vp01v	1	NA	-24	24	44	775	R	1	3500	0
fangm_pfc_L.mni	24	md1vp01v	1	NA	-20	20	40	657	R	1	3500	0
fangm_pfc_L.mni	25	md1vp01v	1	NA	-24	12	48	603	R	1	3500	0
fangm_pfc_L.mni	26	md1vp01v	1	NA	-28	8	48	545	R	1	3500	0
fangm_pfc_L.mni	27	md1vp01v	1	NA	-28	12	44	642	R	1	3500	0
fangm_pfc_L.mni	28	md1vp01v	1	NA	-20	16	44	650	R	1	3500	0
fangm_pfc_L.mni	29	md1vp01v	1	NA	-20	8	48	594	R	1	3500	0
fangm_pfc_L.mni	30	md1vp01v	1	NA	-16	8	52	642	R	1	3500	0
fangm_pfc_L.mni	31	md1vp01v	1	NA	-20	16	40	654	R	1	3500	0
fangm_pfc_L.mni	32	md1vp01v	1	NA	-16	12	48	533	R	1	3500	0
fangm_pfc_L.mni	33	md1vp01v	1	NA	-20	12	48	564	R	1	3500	0
fangm_pfc_L.mni	1	md1vp01v	1	NA	-28	12	48	566	R	2	3500	0
fangm_pfc_L.mni	2	md1vp01v	1	NA	-16	16	48	467	R	2	3500	0
fangm_pfc_L.mni	3	md1vp01v	1	NA	-24	12	44	528	R	2	3500	0
fangm_pfc_L.mni	4	md1vp01v	1	NA	-20	20	44	565	R	2	3500	0
fangm_pfc_L.mni	5	md1vp01v	1	NA	-24	8	48	506	R	2	3500	0
fangm_pfc_L.mni	6	md1vp01v	1	NA	-28	16	48	650	R	2	3500	0
fangm_pfc_L.mni	7	md1vp01v	1	NA	-28	4	48	664	R	2	3500	0
fangm_pfc_L.mni	8	md1vp01v	1	NA	-20	16	44	632	R	2	3500	0
fangm_pfc_L.mni	9	md1vp01v	1	NA	-16	8	52	661	R	2	3500	0
fangm_pfc_L.mni	10	md1vp01v	1	NA	-16	12	52	613	R	2	3500	0
fangm_pfc_L.mni	11	md1vp01v	1	NA	-20	20	40	641	R	2	3500	0
fangm_pfc_L.mni	12	md1vp01v	1	NA	-24	24	44	766	R	2	3500	0
fangm_pfc_L.mni	13	md1vp01v	1	NA	-24	16	44	711	R	2	3500	0
fangm_pfc_L.mni	14	md1vp01v	1	NA	-28	20	44	688	R	2	3500	0
fangm_pfc_L.mni	15	md1vp01v	1	NA	-12	8	52	488	R	2	3500	0
fangm_pfc_L.mni	16	md1vp01v	1	NA	-20	12	44	541	R	2	3500	0
fangm_pfc_L.mni	17	md1vp01v	1	NA	-28	8	48	527	R	2	3500	0
fangm_pfc_L.mni	18	md1vp01v	1	NA	-32	20	44	626	R	2	3500	0
fangm_pfc_L.mni	19	md1vp01v	1	NA	-20	16	48	597	R	2	3500	0
fangm_pfc_L.mni	20	md1vp01v	1	NA	-16	12	48	517	R	2	3500	0
