roi	mniidx	vpnum	run	scannum	x	y	z	intensity	task_type	premisse	time	valid
fangm_ppc_R.mni	1	md1vp01v	1	NA	8	-64	48	654	R	1	3500	0
fangm_ppc_R.mni	2	md1vp01v	1	NA	24	-64	52	695	R	1	3500	0
fangm_ppc_R.mni	3	md1vp01v	1	NA	8	-64	60	912	R	1	3500	0
fangm_ppc_R.mni	4	md1vp01v	1	NA	20	-64	56	726	R	1	3500	0
fangm_ppc_R.mni	5	md1vp01v	1	NA	8	-64	56	761	R	1	3500	0
fangm_ppc_R.mni	6	md1vp01v	1	NA	16	-64	52	823	R	1	3500	0
fangm_ppc_R.mni	7	md1vp01v	1	NA	24	-68	56	758	R	1	3500	0
fangm_ppc_R.mni	8	md1vp01v	1	NA	12	-68	56	819	R	1	3500	0
fangm_ppc_R.mni	9	md1vp01v	1	NA	12	-64	56	688	R	1	3500	0
fangm_ppc_R.mni	10	md1vp01v	1	NA	24	-68	52	648	R	1	3500	0
fangm_ppc_R.mni	11	md1vp01v	1	NA	8	-68	56	577	R	1	3500	0
fangm_ppc_R.mni	12	md1vp01v	1	NA	8	-68	52	819	R	1	3500	0
fangm_ppc_R.mni	13	md1vp01v	1	NA	12	-68	52	784	R	1	3500	0
fangm_ppc_R.mni	14	md1vp01v	1	NA	16	-60	64	732	R	1	3500	0
fangm_ppc_R.mni	15	md1vp01v	1	NA	24	-64	56	764	R	1	3500	0
fangm_ppc_R.mni	16	md1vp01v	1	NA	12	-60	60	817	R	1	3500	0
fangm_ppc_R.mni	17	md1vp01v	1	NA	16	-60	60	711	R	1	3500	0
fangm_ppc_R.mni	18	md1vp01v	1	NA	12	-64	52	601	R	1	3500	0
fangm_ppc_R.mni	19	md1vp01v	1	NA	16	-68	56	975	R	1	3500	0
fangm_ppc_R.mni	20	md1vp01v	1	NA	16	-64	48	901	R	1	3500	0
fangm_ppc_R.mni	21	md1vp01v	1	NA	20	-68	56	806	R	1	3500	0
fangm_ppc_R.mni	22	md1vp01v	1	NA	12	-64	60	847	R	1	3500	0
fangm_ppc_R.mni	23	md1vp01v	1	NA	16	-64	60	760	R	1	3500	0
fangm_ppc_R.mni	24	md1vp01v	1	NA	16	-64	56	741	R	1	3500	0
fangm_ppc_R.mni	25	md1vp01v	1	NA	24	-60	48	555	R	1	3500	0
fangm_ppc_R.mni	26	md1vp01v	1	NA	20	-60	60	610	R	1	3500	0
fangm_ppc_R.mni	27	md1vp01v	1	NA	20	-64	60	758	R	1	3500	0
fangm_ppc_R.mni	28	md1vp01v	1	NA	12	-64	48	651	R	1	3500	0
fangm_ppc_R.mni	1	md1vp01v	1	NA	8	-64	48	662	R	2	3500	0
fangm_ppc_R.mni	2	md1vp01v	1	NA	12	-64	56	668	R	2	3500	0
fangm_ppc_R.mni	3	md1vp01v	1	NA	16	-64	52	809	R	2	3500	0
fangm_ppc_R.mni	4	md1vp01v	1	NA	12	-60	60	808	R	2	3500	0
fangm_ppc_R.mni	5	md1vp01v	1	NA	12	-64	60	838	R	2	3500	0
fangm_ppc_R.mni	6	md1vp01v	1	NA	8	-68	52	796	R	2	3500	0
fangm_ppc_R.mni	7	md1vp01v	1	NA	12	-68	56	810	R	2	3500	0
fangm_ppc_R.mni	8	md1vp01v	1	NA	24	-64	56	764	R	2	3500	0
fangm_ppc_R.mni	9	md1vp01v	1	NA	20	-60	60	599	R	2	3500	0
fangm_ppc_R.mni	10	md1vp01v	1	NA	8	-64	60	928	R	2	3500	0
fangm_ppc_R.mni	11	md1vp01v	1	NA	24	-68	52	648	R	2	3500	0
fangm_ppc_R.mni	12	md1vp01v	1	NA	20	-68	56	799	R	2	3500	0
fangm_ppc_R.mni	13	md1vp01v	1	NA	12	-64	52	597	R	2	3500	0
fangm_ppc_R.mni	14	md1vp01v	1	NA	16	-64	48	875	R	2	3500	0
fangm_ppc_R.mni	15	md1vp01v	1	NA	16	-60	64	754	R	2	3500	0
fangm_ppc_R.mni	16	md1vp01v	1	NA	24	-60	48	626	R	2	3500	0
fangm_ppc_R.mni	17	md1vp01v	1	NA	24	-64	52	703	R	2	3500	0
fangm_ppc_R.mni	18	md1vp01v	1	NA	8	-68	56	563	R	2	3500	0
fangm_ppc_R.mni	19	md1vp01v	1	NA	16	-68	56	960	R	2	3500	0
fangm_ppc_R.mni	20	md1vp01v	1	NA	24	-68	56	734	R	2	3500	0
fangm_ppc_R.mni	21	md1vp01v	1	NA	16	-60	60	709	R	2	3500	0
fangm_ppc_R.mni	22	md1vp01v	1	NA	12	-68	52	780	R	2	3500	0
fangm_ppc_R.mni	23	md1vp01v	1	NA	20	-64	60	768	R	2	3500	0
fangm_ppc_R.mni	24	md1vp01v	1	NA	8	-64	56	791	R	2	3500	0
fangm_ppc_R.mni	25	md1vp01v	1	NA	16	-64	56	725	R	2	3500	0
fangm_ppc_R.mni	26	md1vp01v	1	NA	20	-64	56	722	R	2	3500	0
fangm_ppc_R.mni	27	md1vp01v	1	NA	12	-64	48	656	R	2	3500	0
fangm_ppc_R.mni	28	md1vp01v	1	NA	16	-64	60	752	R	2	3500	0
fangm_ppc_R.mni	1	md1vp01v	1	NA	24	-68	56	733	R	3	3500	0
fangm_ppc_R.mni	2	md1vp01v	1	NA	12	-68	56	828	R	3	3500	0
fangm_ppc_R.mni	3	md1vp01v	1	NA	8	-68	56	563	R	3	3500	0
fangm_ppc_R.mni	4	md1vp01v	1	NA	24	-60	48	582	R	3	3500	0
fangm_ppc_R.mni	5	md1vp01v	1	NA	16	-60	64	744	R	3	3500	0
fangm_ppc_R.mni	6	md1vp01v	1	NA	8	-64	56	777	R	3	3500	0
fangm_ppc_R.mni	7	md1vp01v	1	NA	20	-64	60	775	R	3	3500	0
fangm_ppc_R.mni	8	md1vp01v	1	NA	16	-64	48	893	R	3	3500	0
fangm_ppc_R.mni	9	md1vp01v	1	NA	12	-64	52	605	R	3	3500	0
