task,_C,_L,_N,trial,sequence,choices,response,binaryResponse,responseCorrect,truthful,domain,response_type,reaction_time,id,accimp,age,gender,conservatism,ct,Exciting_Democrats_Combined,Exciting_Republicans_Combined,Familiarity_Democrats_Combined,Familiarity_Republicans_Combined,Importance_Democrats_Combined,Importance_Republicans_Combined,Likelihood_Democrats_Combined,Likelihood_Republicans_Combined,Partisanship_All_Combined,Partisanship_All_Partisan,Partisanship_Democrats_Combined,Partisanship_Republicans_Combined,Sharing_Democrats_Combined,Sharing_Republicans_Combined,Worrying_Democrats_Combined,Worrying_Republicans_Combined,crt,panasPos,panasNeg,education
Fake1,1,0,0,0,0,Accept|Reject,Reject,0,1,0,misinformation,single-choice,3.899,6,4,38,1,1,1,2.9,2.93,2.19,2.29,3.97,3.83,2,2.76,3.86,0.86,3.96,3.75,2.41,2.97,3.42,3.65,1,24,24,4
Fake2,1,0,0,1,1,Accept|Reject,Reject,0,1,0,misinformation,single-choice,6.422,6,4,38,1,1,1,2.35,2.48,2.28,2.27,2.64,2.92,1.99,2.25,4.03,1.03,3.9,4.16,1.96,2.52,2.53,2.26,1,24,24,4
Fake3,1,0,0,2,2,Accept|Reject,Reject,0,1,0,misinformation,single-choice,23.366,6,4,38,1,1,1,2.91,3,2.19,2.35,4.21,4.03,1.9,2.2,3.83,0.83,3.91,3.75,2.55,2.9,3.68,3.82,1,24,24,4
Fake4,1,0,0,3,3,Accept|Reject,Reject,0,1,0,misinformation,single-choice,15.048,6,4,38,1,1,1,2.1,2.98,2.13,2.41,2.84,3.43,2,2.93,4.05,1.05,4.04,4.06,1.81,2.85,2.28,2.07,1,24,24,4
Fake5,1,0,0,4,4,Accept|Reject,Reject,0,1,0,misinformation,single-choice,3.092,6,4,38,1,1,1,2.23,2.83,2.47,2.57,3.37,3.71,1.9,2.75,3.93,0.93,3.97,3.9,2.11,2.96,2.2,2.61,1,24,24,4
Fake6,0,0,1,5,5,Accept|Reject,Reject,0,1,0,misinformation,single-choice,4.375,6,4,38,1,1,1,2.54,2.45,2.27,2.31,4.11,4.23,1.57,1.88,3.76,0.76,3.69,3.84,2.31,2.8,3.91,4.01,1,24,24,4
Fake7,1,0,0,6,6,Accept|Reject,Reject,0,1,0,misinformation,single-choice,1.766,6,4,38,1,1,1,2.61,2.68,2.16,2.31,3.71,3.76,1.92,2.48,3.96,0.96,3.98,3.94,2.17,2.57,2.91,2.9,1,24,24,4
Fake8,1,0,0,7,7,Accept|Reject,Reject,0,1,0,misinformation,single-choice,3.974,6,4,38,1,1,1,2.53,2.71,2.21,2.25,3.49,3.29,2.14,2.35,3.95,0.95,3.9,4,2.18,2.97,3.12,2.69,1,24,24,4
Fake10,0,1,0,8,9,Accept|Reject,Reject,0,1,0,misinformation,single-choice,5.545,6,4,38,1,1,1,2.92,2.6,2.18,2.32,3.75,3.27,2.7,2.62,2.16,0.84,2.1,2.22,2.34,2.18,2.71,2.5,1,24,24,4
Fake11,0,1,0,9,10,Accept|Reject,Reject,0,1,0,misinformation,single-choice,5.146,6,4,38,1,1,1,2.81,2.38,2.23,2.29,3.32,2.73,2.43,2.09,1.95,1.05,1.88,2.02,2.49,2.2,2.47,2.08,1,24,24,4
Fake12,0,1,0,10,11,Accept|Reject,Reject,0,1,0,misinformation,single-choice,6.432,6,4,38,1,1,1,3.6,2.76,2.25,2.37,4.31,3.9,1.94,2.56,1.98,1.02,1.75,2.21,3.49,2.92,1.68,2.64,1,24,24,4
Fake13,0,1,0,11,12,Accept|Reject,Reject,0,1,0,misinformation,single-choice,8.422,6,4,38,1,1,1,2.45,2.3,2.2,2.42,3.49,3.22,2.85,2.55,2.18,0.82,2.04,2.32,2.34,2.14,2.85,2.67,1,24,24,4
Fake14,0,1,0,12,13,Accept|Reject,Reject,0,1,0,misinformation,single-choice,4.587,6,4,38,1,1,1,1.9,1.7,2.18,2.25,2.11,1.86,2.07,1.51,2.19,0.81,2.15,2.23,2.12,1.89,2.19,1.8,1,24,24,4
Fake15,0,1,0,13,14,Accept|Reject,Reject,0,1,0,misinformation,single-choice,13.996,6,4,38,1,1,1,2.81,2.37,2.19,2.27,3.5,3.31,1.79,1.68,2.09,0.92,2.08,2.09,2.33,2.16,2.43,2.58,1,24,24,4
