session,id,trial,response,choices,filter1F81J1,isTesting,sequence,t1,t2,t3,domain,response_type,task,choicesorig
1,1,1,2,1|2,not_selected,0,1001,,,,spatial-relational,single-choice,1/2,12
1,1,2,1,1|2,not_selected,0,1002,,,,spatial-relational,single-choice,1/2,12
1,1,3,1,1|2,not_selected,0,1003,,,,spatial-relational,single-choice,1/2,12
1,1,4,1,1|2,not_selected,0,1004,,,,spatial-relational,single-choice,1/2,12
1,1,5,1,1|2,not_selected,0,1005,,,,spatial-relational,single-choice,1/2,12
1,1,6,1,1|2,not_selected,0,1006,,,,spatial-relational,single-choice,1/2,12
1,1,7,1,1|2,not_selected,0,1007,,,,spatial-relational,single-choice,1/2,12
1,1,8,2,1|2,not_selected,0,1008,,,,spatial-relational,single-choice,1/2,12
1,1,9,1,1|2,not_selected,0,1009,,,,spatial-relational,single-choice,1/2,12
1,1,10,1,1|2,not_selected,0,1010,,,,spatial-relational,single-choice,1/2,12
1,1,11,2,1|2,not_selected,0,1011,,,,spatial-relational,single-choice,1/2,12
1,1,12,1,1|2,not_selected,0,1012,,,,spatial-relational,single-choice,1/2,12
1,1,13,1,1|2,not_selected,0,1013,,,,spatial-relational,single-choice,1/2,12
1,1,14,1,1|2,not_selected,0,1014,,,,spatial-relational,single-choice,1/2,12
1,1,15,1,1|2,not_selected,0,1015,,,,spatial-relational,single-choice,1/2,12
1,1,16,1,1|2,not_selected,0,1016,,,,spatial-relational,single-choice,1/2,12
1,1,17,1,1|2,not_selected,0,1017,,,,spatial-relational,single-choice,1/2,12
1,1,18,1,1|2,not_selected,0,1018,,,,spatial-relational,single-choice,1/2,12
1,1,19,1,1|2,not_selected,0,1019,,,,spatial-relational,single-choice,1/2,12
1,1,20,1,1|2,not_selected,0,1020,,,,spatial-relational,single-choice,1/2,12
1,1,21,1,1|2,not_selected,0,1021,,,,spatial-relational,single-choice,1/2,12
1,1,22,1,1|2,not_selected,0,1022,,,,spatial-relational,single-choice,1/2,12
1,1,23,1,1|2,not_selected,0,1023,,,,spatial-relational,single-choice,1/2,12
1,1,24,1,1|2,not_selected,0,1024,,,,spatial-relational,single-choice,1/2,12
1,1,25,1,1|2,not_selected,0,1025,,,,spatial-relational,single-choice,1/2,12
1,1,26,1,1|2,not_selected,0,1026,,,,spatial-relational,single-choice,1/2,12
1,1,27,1,1|2,not_selected,0,1027,,,,spatial-relational,single-choice,1/2,12
1,1,28,1,1|2,not_selected,0,1028,,,,spatial-relational,single-choice,1/2,12
1,1,29,1,1|2,not_selected,0,1029,,,,spatial-relational,single-choice,1/2,12
1,1,30,1,1|2,not_selected,0,1030,,,,spatial-relational,single-choice,1/2,12
1,1,31,1,1|2,not_selected,0,1031,,,,spatial-relational,single-choice,1/2,12
1,1,32,1,1|2,not_selected,0,1032,,,,spatial-relational,single-choice,1/2,12
1,1,33,1,1|2,not_selected,0,1033,,,,spatial-relational,single-choice,1/2,12
1,1,34,1,1|2,not_selected,0,1034,,,,spatial-relational,single-choice,1/2,12
1,1,35,1,1|2,not_selected,0,1035,,,,spatial-relational,single-choice,1/2,12
1,1,36,1,1|2,not_selected,0,1036,,,,spatial-relational,single-choice,1/2,12
1,1,37,1,1|2,not_selected,0,1037,,,,spatial-relational,single-choice,1/2,12
1,1,38,1,1|2,not_selected,0,1038,,,,spatial-relational,single-choice,1/2,12
1,1,39,1,1|2,not_selected,0,1039,,,,spatial-relational,single-choice,1/2,12
