Korrekt,id,trial,response,rightone,distractor,response_type,domain,result,choices,sequence,length,distance,task
1,1,-36,5,5,6,single-choice,spatial-relational,True,5|6,1001,7,1,5/6
0,1,-35,2,1,2,single-choice,spatial-relational,False,1|2,1002,7,1,1/2
1,1,-34,6,6,7,single-choice,spatial-relational,True,6|7,1003,7,1,6/7
0,1,-33,4,3,4,single-choice,spatial-relational,False,3|4,1004,7,1,3/4
0,1,-32,5,4,5,single-choice,spatial-relational,False,4|5,1005,7,1,4/5
0,1,-31,3,2,3,single-choice,spatial-relational,False,2|3,1006,7,1,2/3
1,1,-30,1,1,2,single-choice,spatial-relational,True,1|2,1007,7,1,1/2
1,1,-29,5,5,6,single-choice,spatial-relational,True,5|6,1008,7,1,5/6
0,1,-28,5,4,5,single-choice,spatial-relational,False,4|5,1009,7,1,4/5
1,1,-27,3,3,4,single-choice,spatial-relational,True,3|4,1010,7,1,3/4
0,1,-26,3,2,3,single-choice,spatial-relational,False,2|3,1011,7,1,2/3
1,1,-25,6,6,7,single-choice,spatial-relational,True,6|7,1012,7,1,6/7
1,1,-24,6,6,7,single-choice,spatial-relational,True,6|7,1013,7,1,6/7
1,1,-23,2,2,3,single-choice,spatial-relational,True,2|3,1014,7,1,2/3
1,1,-22,1,1,2,single-choice,spatial-relational,True,1|2,1015,7,1,1/2
1,1,-21,4,4,5,single-choice,spatial-relational,True,4|5,1016,7,1,4/5
1,1,-20,5,5,6,single-choice,spatial-relational,True,5|6,1017,7,1,5/6
1,1,-19,3,3,4,single-choice,spatial-relational,True,3|4,1018,7,1,3/4
1,1,-18,3,3,4,single-choice,spatial-relational,True,3|4,1019,7,1,3/4
1,1,-17,4,4,5,single-choice,spatial-relational,True,4|5,1020,7,1,4/5
1,1,-16,5,5,6,single-choice,spatial-relational,True,5|6,1021,7,1,5/6
0,1,-15,3,2,3,single-choice,spatial-relational,False,2|3,1022,7,1,2/3
1,1,-14,6,6,7,single-choice,spatial-relational,True,6|7,1023,7,1,6/7
1,1,-13,1,1,2,single-choice,spatial-relational,True,1|2,1024,7,1,1/2
1,1,-12,2,2,3,single-choice,spatial-relational,True,2|3,1025,7,1,2/3
1,1,-11,5,5,6,single-choice,spatial-relational,True,5|6,1026,7,1,5/6
1,1,-10,1,1,2,single-choice,spatial-relational,True,1|2,1027,7,1,1/2
1,1,-9,6,6,7,single-choice,spatial-relational,True,6|7,1028,7,1,6/7
1,1,-8,4,4,5,single-choice,spatial-relational,True,4|5,1029,7,1,4/5
1,1,-7,3,3,4,single-choice,spatial-relational,True,3|4,1030,7,1,3/4
1,1,-6,2,2,3,single-choice,spatial-relational,True,2|3,1031,7,1,2/3
0,1,-5,6,5,6,single-choice,spatial-relational,False,5|6,1032,7,1,5/6
1,1,-4,3,3,4,single-choice,spatial-relational,True,3|4,1033,7,1,3/4
1,1,-3,6,6,7,single-choice,spatial-relational,True,6|7,1034,7,1,6/7
1,1,-2,4,4,5,single-choice,spatial-relational,True,4|5,1035,7,1,4/5
1,1,-1,1,1,2,single-choice,spatial-relational,True,1|2,1036,7,1,1/2
1,1,0,2,2,7,single-choice,spatial-relational,True,2|7,1037,7,2,2/7
1,1,1,1,1,7,single-choice,spatial-relational,True,1|7,1038,7,4,1/7
1,1,2,5,5,7,single-choice,spatial-relational,True,5|7,1039,7,4,5/7
1,1,3,2,2,4,single-choice,spatial-relational,True,2|4,1040,7,3,2/4
0,1,4,6,4,6,single-choice,spatial-relational,False,4|6,1041,7,2,4/6
1,1,5,1,1,5,single-choice,spatial-relational,True,1|5,1042,7,3,1/5
1,1,6,4,4,7,single-choice,spatial-relational,True,4|7,1043,7,6,4/7
1,1,7,1,1,3,single-choice,spatial-relational,True,1|3,1044,7,5,1/3
1,1,8,2,2,6,single-choice,spatial-relational,True,2|6,1045,7,4,2/6
1,1,9,1,1,4,single-choice,spatial-relational,True,1|4,1046,7,2,1/4
1,1,10,1,1,6,single-choice,spatial-relational,True,1|6,1047,7,5,1/6
1,1,11,2,2,5,single-choice,spatial-relational,True,2|5,1048,7,3,2/5
1,1,12,3,3,7,single-choice,spatial-relational,True,3|7,1049,7,3,3/7
1,1,13,3,3,6,single-choice,spatial-relational,True,3|6,1050,7,2,3/6
1,1,14,3,3,5,single-choice,spatial-relational,True,3|5,1051,7,2,3/5
1,1,15,2,2,6,single-choice,spatial-relational,True,2|6,1052,7,2,2/6
1,1,16,1,1,6,single-choice,spatial-relational,True,1|6,1053,7,3,1/6
1,1,17,3,3,6,single-choice,spatial-relational,True,3|6,1054,7,3,3/6
1,1,18,5,5,7,single-choice,spatial-relational,True,5|7,1055,7,3,5/7
1,1,19,4,4,7,single-choice,spatial-relational,True,4|7,1056,7,2,4/7
1,1,20,1,1,5,single-choice,spatial-relational,True,1|5,1057,7,4,1/5
1,1,21,2,2,7,single-choice,spatial-relational,True,2|7,1058,7,2,2/7
1,1,22,1,1,7,single-choice,spatial-relational,True,1|7,1059,7,6,1/7
1,1,23,3,3,5,single-choice,spatial-relational,True,3|5,1060,7,2,3/5
1,1,24,2,2,5,single-choice,spatial-relational,True,2|5,1061,7,5,2/5
1,1,25,1,1,3,single-choice,spatial-relational,True,1|3,1062,7,2,1/3
1,1,26,3,3,7,single-choice,spatial-relational,True,3|7,1063,7,3,3/7
1,1,27,4,4,6,single-choice,spatial-relational,True,4|6,1064,7,4,4/6
1,1,28,1,1,4,single-choice,spatial-relational,True,1|4,1065,7,4,1/4
1,1,29,2,2,4,single-choice,spatial-relational,True,2|4,1066,7,5,2/4
1,1,30,1,1,5,single-choice,spatial-relational,True,1|5,1067,7,2,1/5
1,1,31,1,1,3,single-choice,spatial-relational,True,1|3,1068,7,6,1/3
1,1,32,4,4,7,single-choice,spatial-relational,True,4|7,1069,7,4,4/7
1,1,33,1,1,6,single-choice,spatial-relational,True,1|6,1070,7,3,1/6
1,1,34,1,1,4,single-choice,spatial-relational,True,1|4,1071,7,3,1/4
1,1,35,4,4,6,single-choice,spatial-relational,True,4|6,1072,7,5,4/6
1,1,36,2,2,5,single-choice,spatial-relational,True,2|5,1073,7,4,2/5
1,1,37,2,2,7,single-choice,spatial-relational,True,2|7,1074,7,2,2/7
1,1,38,3,3,5,single-choice,spatial-relational,True,3|5,1075,7,2,3/5
1,1,39,1,1,7,single-choice,spatial-relational,True,1|7,1076,7,3,1/7
1,1,40,2,2,4,single-choice,spatial-relational,True,2|4,1077,7,2,2/4
1,1,41,5,5,7,single-choice,spatial-relational,True,5|7,1078,7,5,5/7
1,1,42,2,2,6,single-choice,spatial-relational,True,2|6,1079,7,2,2/6
1,1,43,3,3,6,single-choice,spatial-relational,True,3|6,1080,7,3,3/6
1,1,44,3,3,7,single-choice,spatial-relational,True,3|7,1081,7,4,3/7
1,1,45,2,2,4,single-choice,spatial-relational,True,2|4,1082,7,5,2/4
1,1,46,1,1,7,single-choice,spatial-relational,True,1|7,1083,7,4,1/7
1,1,47,1,1,6,single-choice,spatial-relational,True,1|6,1084,7,2,1/6
1,1,48,1,1,5,single-choice,spatial-relational,True,1|5,1085,7,6,1/5
1,1,49,3,3,5,single-choice,spatial-relational,True,3|5,1086,7,3,3/5
1,1,50,4,4,7,single-choice,spatial-relational,True,4|7,1087,7,3,4/7
