id,sequence,task,choices,response,response_type,domain,task_original,choices_original
ZAEGKD,0,necessary;or;A;B,necessary;xor;A;B,True,verify,modal,"It is necessary that: {A} or {B}, or both","it is necessary that: {A} or {B}, but not both"
ZAEGKD,1,xor;necessary;A;necessary;B,necessary;xor;A;B,True,verify,modal,"It is necessary that {A} OR it is necessary that {B}, but not both","It is necessary that: {A} or {B}, but not both"
ZAEGKD,2,necessary;xor;A;B,xor;necessary;A;necessary;B,True,verify,modal,"It is necessary that: {A} or {B}, but not both","It is necessary that {A} OR it is necessary that {B}, but not"
ZAEGKD,3,possible;or;A;B,or;possible;A;possible;B,True,verify,modal,"It is possible that: {A} or {B}, or both","it is possible that {A} OR it is possible that {B}, or both"
ZAEGKD,4,not;possible;xor;A;B,not;possible;and;A;B,True,verify,modal,"It is impossible that: {A} or {B}, but not both",it is impossible that: {A} and {B}
ZAEGKD,5,necessary;and;A;B,and;necessary;A;necessary;B,True,verify,modal,It is necessary that: {A} and {B},It is necessary that {A} AND it is necessary that {B}
ZAEGKD,6,not;possible;xor;A;B,not;possible;or;A;B,True,verify,modal,"It is impossible that: {A} or {B}, but not both","it is impossible that: {A} or {B}, or both"
ZAEGKD,7,possible;xor;A;B,possible;and;A;B,True,verify,modal,"It is possible that: {A} or {B}, but not both",it is possible that: {A} and {B}
ZAEGKD,8,possible;xor;A;B,possible;or;A;B,True,verify,modal,"It is possible that: {A} or {B}, but not both","it is possible that: {A} or {B}, or both"
ZAEGKD,9,not;possible;and;A;B,and;not;possible;A;not;possible;B,True,verify,modal,It is impossible that: {A} and {B},It is impossible that {A} AND it is impossible that {B}
ZAEGKD,10,possible;and;A;B,and;possible;A;possible;B,True,verify,modal,It is possible that: {A} and {B},It is possible that {A} AND it is possible that {B}
ZAEGKD,11,not;possible;or;A;B,not;possible;xor;A;B,True,verify,modal,"It is impossible that: {A} or {B}, or both","it is impossible that: {A} or {B}, but not both"
ZAEGKD,12,and;necessary;A;necessary;B,necessary;and;A;B,True,verify,modal,It is necessary that {A} AND it is necessary that {B},It is necessary that: {A} and {B}
ZAEGKD,13,necessary;or;A;B,or;necessary;A;necessary;B,True,verify,modal,"It is necessary that: {A} or {B}, or both","It is necessary that {A} OR it is necessary that {B}, or both"
ZAEGKD,14,or;not;possible;A;not;possible;B,not;possible;or;A;B,True,verify,modal,"It is impossible that {A} OR it is impossible that {B}, or both","It is impossible that: {A} or {B}, or both"
ZAEGKD,15,not;possible;xor;A;B,xor;not;possible;A;not;possible;B,True,verify,modal,"It is impossible that: {A} or {B}, but not both","it is impossible that {A} OR it is impossible that {B}, but not both"
ZAEGKD,16,xor;not;possible;A;not;possible;B,not;possible;xor;A;B,True,verify,modal,"It is impossible that {A} OR it is impossible that {B}, but not both","It is impossible that: {A} or {B}, but not both"
ZAEGKD,17,or;possible;A;possible;B,possible;or;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, or both","It is possible that: {A} or {B}, or both"
ZAEGKD,18,xor;possible;A;possible;B,possible;xor;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, but not both","It is possible that: {A} or {B}, but not both"
ZAEGKD,19,and;possible;A;possible;B,possible;and;A;B,True,verify,modal,It is possible that {A} AND it is possible that {B},It is possible that: {A} and {B}
ZAEGKD,20,possible;or;A;B,possible;xor;A;B,True,verify,modal,"It is possible that: {A} or {B}, or both","it is possible that: {A} or {B}, but not both"
ZAEGKD,21,necessary;xor;A;B,necessary;and;A;B,True,verify,modal,"It is necessary that: {A} or {B}, but not both",it is necessary that: {A} and {B}
ZAEGKD,22,or;necessary;A;necessary;B,necessary;or;A;B,True,verify,modal,"It is necessary that {A} OR it is necessary that {B}, or both","It is necessary that: {A} or {B}, or both"
ZAEGKD,23,possible;xor;A;B,xor;possible;A;possible;B,True,verify,modal,"It is possible that: {A} or {B}, but not both","it is possible that {A} OR it is possible that {B}, but not both"
ZAEGKD,24,and;not;possible;A;not;possible;B,not;possible;and;A;B,True,verify,modal,It is impossible that {A} AND it is impossible that {B},It is impossible that: {A} and {B}
ZAEGKD,25,not;possible;or;A;B,or;not;possible;A;not;possible;B,True,verify,modal,"It is impossible that: {A} or {B}, or both","it is impossible that {A} OR it is impossible that {B}, or both"
ZAEGKD,26,necessary;xor;A;B,necessary;or;A;B,True,verify,modal,"It is necessary that: {A} or {B}, but not both","it is necessary that: {A} or {B}, or both"
CYLRZK,0,xor;necessary;A;necessary;B,necessary;xor;A;B,True,verify,modal,"It is necessary that {A} OR it is necessary that {B}, but not both","It is necessary that: {A} or {B}, but not both"
CYLRZK,1,possible;and;A;B,and;possible;A;possible;B,True,verify,modal,It is possible that: {A} and {B},It is possible that {A} AND it is possible that {B}
CYLRZK,2,necessary;or;A;B,necessary;xor;A;B,True,verify,modal,"It is necessary that: {A} or {B}, or both","it is necessary that: {A} or {B}, but not both"
CYLRZK,3,necessary;and;A;B,and;necessary;A;necessary;B,True,verify,modal,It is necessary that: {A} and {B},It is necessary that {A} AND it is necessary that {B}
CYLRZK,4,not;possible;xor;A;B,xor;not;possible;A;not;possible;B,True,verify,modal,"It is impossible that: {A} or {B}, but not both","it is impossible that {A} OR it is impossible that {B}, but not both"
CYLRZK,5,not;possible;or;A;B,not;possible;xor;A;B,True,verify,modal,"It is impossible that: {A} or {B}, or both","it is impossible that: {A} or {B}, but not both"
CYLRZK,6,not;possible;xor;A;B,not;possible;and;A;B,True,verify,modal,"It is impossible that: {A} or {B}, but not both",it is impossible that: {A} and {B}
CYLRZK,7,and;not;possible;A;not;possible;B,not;possible;and;A;B,True,verify,modal,It is impossible that {A} AND it is impossible that {B},It is impossible that: {A} and {B}
CYLRZK,8,necessary;xor;A;B,necessary;or;A;B,True,verify,modal,"It is necessary that: {A} or {B}, but not both","it is necessary that: {A} or {B}, or both"
CYLRZK,9,possible;or;A;B,or;possible;A;possible;B,True,verify,modal,"It is possible that: {A} or {B}, or both","it is possible that {A} OR it is possible that {B}, or both"
CYLRZK,10,necessary;xor;A;B,necessary;and;A;B,True,verify,modal,"It is necessary that: {A} or {B}, but not both",it is necessary that: {A} and {B}
CYLRZK,11,possible;xor;A;B,possible;and;A;B,True,verify,modal,"It is possible that: {A} or {B}, but not both",it is possible that: {A} and {B}
CYLRZK,12,necessary;xor;A;B,xor;necessary;A;necessary;B,True,verify,modal,"It is necessary that: {A} or {B}, but not both","It is necessary that {A} OR it is necessary that {B}, but not"
CYLRZK,13,possible;xor;A;B,possible;or;A;B,True,verify,modal,"It is possible that: {A} or {B}, but not both","it is possible that: {A} or {B}, or both"
CYLRZK,14,possible;xor;A;B,xor;possible;A;possible;B,True,verify,modal,"It is possible that: {A} or {B}, but not both","it is possible that {A} OR it is possible that {B}, but not both"
CYLRZK,15,or;possible;A;possible;B,possible;or;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, or both","It is possible that: {A} or {B}, or both"
CYLRZK,16,possible;or;A;B,possible;xor;A;B,True,verify,modal,"It is possible that: {A} or {B}, or both","it is possible that: {A} or {B}, but not both"
CYLRZK,17,or;necessary;A;necessary;B,necessary;or;A;B,True,verify,modal,"It is necessary that {A} OR it is necessary that {B}, or both","It is necessary that: {A} or {B}, or both"
CYLRZK,18,and;possible;A;possible;B,possible;and;A;B,True,verify,modal,It is possible that {A} AND it is possible that {B},It is possible that: {A} and {B}
CYLRZK,19,and;necessary;A;necessary;B,necessary;and;A;B,True,verify,modal,It is necessary that {A} AND it is necessary that {B},It is necessary that: {A} and {B}
CYLRZK,20,xor;not;possible;A;not;possible;B,not;possible;xor;A;B,True,verify,modal,"It is impossible that {A} OR it is impossible that {B}, but not both","It is impossible that: {A} or {B}, but not both"
CYLRZK,21,or;not;possible;A;not;possible;B,not;possible;or;A;B,True,verify,modal,"It is impossible that {A} OR it is impossible that {B}, or both","It is impossible that: {A} or {B}, or both"
CYLRZK,22,necessary;or;A;B,or;necessary;A;necessary;B,True,verify,modal,"It is necessary that: {A} or {B}, or both","It is necessary that {A} OR it is necessary that {B}, or both"
CYLRZK,23,xor;possible;A;possible;B,possible;xor;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, but not both","It is possible that: {A} or {B}, but not both"
CYLRZK,24,not;possible;or;A;B,or;not;possible;A;not;possible;B,True,verify,modal,"It is impossible that: {A} or {B}, or both","it is impossible that {A} OR it is impossible that {B}, or both"
CYLRZK,25,not;possible;xor;A;B,not;possible;or;A;B,True,verify,modal,"It is impossible that: {A} or {B}, but not both","it is impossible that: {A} or {B}, or both"
CYLRZK,26,not;possible;and;A;B,and;not;possible;A;not;possible;B,True,verify,modal,It is impossible that: {A} and {B},It is impossible that {A} AND it is impossible that {B}
KGIWEW,0,xor;not;possible;A;not;possible;B,not;possible;xor;A;B,True,verify,modal,"It is impossible that {A} OR it is impossible that {B}, but not both","It is impossible that: {A} or {B}, but not both"
KGIWEW,1,or;possible;A;possible;B,possible;or;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, or both","It is possible that: {A} or {B}, or both"
KGIWEW,2,necessary;or;A;B,necessary;xor;A;B,True,verify,modal,"It is necessary that: {A} or {B}, or both","it is necessary that: {A} or {B}, but not both"
KGIWEW,3,possible;or;A;B,or;possible;A;possible;B,True,verify,modal,"It is possible that: {A} or {B}, or both","it is possible that {A} OR it is possible that {B}, or both"
KGIWEW,4,possible;and;A;B,and;possible;A;possible;B,True,verify,modal,It is possible that: {A} and {B},It is possible that {A} AND it is possible that {B}
KGIWEW,5,necessary;xor;A;B,necessary;or;A;B,True,verify,modal,"It is necessary that: {A} or {B}, but not both","it is necessary that: {A} or {B}, or both"
KGIWEW,6,not;possible;and;A;B,and;not;possible;A;not;possible;B,True,verify,modal,It is impossible that: {A} and {B},It is impossible that {A} AND it is impossible that {B}
KGIWEW,7,xor;necessary;A;necessary;B,necessary;xor;A;B,True,verify,modal,"It is necessary that {A} OR it is necessary that {B}, but not both","It is necessary that: {A} or {B}, but not both"
KGIWEW,8,not;possible;xor;A;B,not;possible;and;A;B,True,verify,modal,"It is impossible that: {A} or {B}, but not both",it is impossible that: {A} and {B}
KGIWEW,9,necessary;xor;A;B,xor;necessary;A;necessary;B,True,verify,modal,"It is necessary that: {A} or {B}, but not both","It is necessary that {A} OR it is necessary that {B}, but not"
KGIWEW,10,and;not;possible;A;not;possible;B,not;possible;and;A;B,True,verify,modal,It is impossible that {A} AND it is impossible that {B},It is impossible that: {A} and {B}
KGIWEW,11,or;not;possible;A;not;possible;B,not;possible;or;A;B,True,verify,modal,"It is impossible that {A} OR it is impossible that {B}, or both","It is impossible that: {A} or {B}, or both"
KGIWEW,12,not;possible;xor;A;B,not;possible;or;A;B,True,verify,modal,"It is impossible that: {A} or {B}, but not both","it is impossible that: {A} or {B}, or both"
KGIWEW,13,possible;xor;A;B,possible;or;A;B,True,verify,modal,"It is possible that: {A} or {B}, but not both","it is possible that: {A} or {B}, or both"
KGIWEW,14,xor;possible;A;possible;B,possible;xor;A;B,True,verify,modal,"It is possible that {A} OR it is possible that {B}, but not both","It is possible that: {A} or {B}, but not both"
KGIWEW,15,or;necessary;A;necessary;B,necessary;or;A;B,True,verify,modal,"It is necessary that {A} OR it is necessary that {B}, or both","It is necessary that: {A} or {B}, or both"
KGIWEW,16,necessary;and;A;B,and;necessary;A;necessary;B,True,verify,modal,It is necessary that: {A} and {B},It is necessary that {A} AND it is necessary that {B}
KGIWEW,17,possible;xor;A;B,possible;and;A;B,True,verify,modal,"It is possible that: {A} or {B}, but not both",it is possible that: {A} and {B}
KGIWEW,18,possible;or;A;B,possible;xor;A;B,True,verify,modal,"It is possible that: {A} or {B}, or both","it is possible that: {A} or {B}, but not both"
KGIWEW,19,necessary;xor;A;B,necessary;and;A;B,True,verify,modal,"It is necessary that: {A} or {B}, but not both",it is necessary that: {A} and {B}
KGIWEW,20,not;possible;or;A;B,not;possible;xor;A;B,True,verify,modal,"It is impossible that: {A} or {B}, or both","it is impossible that: {A} or {B}, but not both"
KGIWEW,21,possible;xor;A;B,xor;possible;A;possible;B,True,verify,modal,"It is possible that: {A} or {B}, but not both","it is possible that {A} OR it is possible that {B}, but not both"
KGIWEW,22,and;necessary;A;necessary;B,necessary;and;A;B,True,verify,modal,It is necessary that {A} AND it is necessary that {B},It is necessary that: {A} and {B}
KGIWEW,23,not;possible;xor;A;B,xor;not;possible;A;not;possible;B,True,verify,modal,"It is impossible that: {A} or {B}, but not both","it is impossible that {A} OR it is impossible that {B}, but not both"
KGIWEW,24,not;possible;or;A;B,or;not;possible;A;not;possible;B,True,verify,modal,"It is impossible that: {A} or {B}, or both","it is impossible that {A} OR it is impossible that {B}, or both"
KGIWEW,25,necessary;or;A;B,or;necessary;A;necessary;B,True,verify,modal,"It is necessary that: {A} or {B}, or both","It is necessary that {A} OR it is necessary that {B}, or both"
KGIWEW,26,and;possible;A;possible;B,possible;and;A;B,True,verify,modal,It is possible that {A} AND it is possible that {B},It is possible that: {A} and {B}
FSJMQS,0,not;possible;xor;A;B,xor;not;possible;A;not;possible;B,True,verify,modal,"It is impossible that: {A} or {B}, but not both","it is impossible that {A} OR it is impossible that {B}, but not both"
