id,task,response,survey.age,survey.gender,survey.education,survey.political,survey.religious,country_code,Continent,sequence,choices,response_type,domain
14623,Footbridge,0,25,Men,College,0.79,0,DE,Europe,0,0|1,single-choice,moral
14623,Loop,1,25,Men,College,0.79,0,DE,Europe,0,0|1,single-choice,moral
14623,Switch,1,25,Men,College,0.79,0,DE,Europe,0,0|1,single-choice,moral
14624,Footbridge,1,18,Men,No College,0,0.5,VN,Asia,0,0|1,single-choice,moral
14624,Loop,1,18,Men,No College,0,0.5,VN,Asia,0,0|1,single-choice,moral
14624,Switch,1,18,Men,No College,0,0.5,VN,Asia,0,0|1,single-choice,moral
14625,Footbridge,0,21,Women,College,0.94,0,MX,Americas,0,0|1,single-choice,moral
14625,Loop,0,21,Women,College,0.94,0,MX,Americas,0,0|1,single-choice,moral
14625,Switch,0,21,Women,College,0.94,0,MX,Americas,0,0|1,single-choice,moral
14626,Footbridge,0,18,Women,No College,0.35,0,GB,Europe,0,0|1,single-choice,moral
14626,Loop,0,18,Women,No College,0.35,0,GB,Europe,0,0|1,single-choice,moral
14626,Switch,1,18,Women,No College,0.35,0,GB,Europe,0,0|1,single-choice,moral
14627,Footbridge,0,29,Men,College,0.81,0.11,NL,Europe,0,0|1,single-choice,moral
14627,Loop,1,29,Men,College,0.81,0.11,NL,Europe,0,0|1,single-choice,moral
14627,Switch,0,29,Men,College,0.81,0.11,NL,Europe,0,0|1,single-choice,moral
14628,Footbridge,0,28,Men,No College,1,0,AU,Oc.,0,0|1,single-choice,moral
14628,Loop,0,28,Men,No College,1,0,AU,Oc.,0,0|1,single-choice,moral
14628,Switch,0,28,Men,No College,1,0,AU,Oc.,0,0|1,single-choice,moral
14629,Footbridge,1,22,Men,College,0.5,0.2,GB,Europe,0,0|1,single-choice,moral
14629,Loop,1,22,Men,College,0.5,0.2,GB,Europe,0,0|1,single-choice,moral
14629,Switch,1,22,Men,College,0.5,0.2,GB,Europe,0,0|1,single-choice,moral
14630,Footbridge,0,32,Women,College,0.86,0.5,FR,Europe,0,0|1,single-choice,moral
14630,Loop,1,32,Women,College,0.86,0.5,FR,Europe,0,0|1,single-choice,moral
14630,Switch,1,32,Women,College,0.86,0.5,FR,Europe,0,0|1,single-choice,moral
14631,Footbridge,1,18,Men,No College,0.48,0.25,US,Americas,0,0|1,single-choice,moral
14631,Loop,1,18,Men,No College,0.48,0.25,US,Americas,0,0|1,single-choice,moral
14631,Switch,1,18,Men,No College,0.48,0.25,US,Americas,0,0|1,single-choice,moral
14632,Footbridge,0,19,Men,College,1,0,UA,Europe,0,0|1,single-choice,moral
14632,Loop,0,19,Men,College,1,0,UA,Europe,0,0|1,single-choice,moral
14632,Switch,0,19,Men,College,1,0,UA,Europe,0,0|1,single-choice,moral
14633,Footbridge,0,21,Women,College,0.14,0.92,BR,Americas,0,0|1,single-choice,moral
14633,Loop,1,21,Women,College,0.14,0.92,BR,Americas,0,0|1,single-choice,moral
14633,Switch,1,21,Women,College,0.14,0.92,BR,Americas,0,0|1,single-choice,moral
14634,Footbridge,1,40,Women,College,0.68,0.06,CA,Americas,0,0|1,single-choice,moral
14634,Loop,1,40,Women,College,0.68,0.06,CA,Americas,0,0|1,single-choice,moral
14634,Switch,1,40,Women,College,0.68,0.06,CA,Americas,0,0|1,single-choice,moral
14635,Footbridge,0,63,Men,College,1,0,GB,Europe,0,0|1,single-choice,moral
14635,Loop,0,63,Men,College,1,0,GB,Europe,0,0|1,single-choice,moral
14635,Switch,1,63,Men,College,1,0,GB,Europe,0,0|1,single-choice,moral
14636,Footbridge,1,62,Men,College,0.63,0.22,RU,Europe,0,0|1,single-choice,moral
14636,Loop,1,62,Men,College,0.63,0.22,RU,Europe,0,0|1,single-choice,moral
14636,Switch,1,62,Men,College,0.63,0.22,RU,Europe,0,0|1,single-choice,moral
14637,Footbridge,1,38,Men,College,0.23,0,KR,Asia,0,0|1,single-choice,moral
14637,Loop,1,38,Men,College,0.23,0,KR,Asia,0,0|1,single-choice,moral
14637,Switch,1,38,Men,College,0.23,0,KR,Asia,0,0|1,single-choice,moral
14638,Footbridge,0,18,Men,College,0.66,0.17,FR,Europe,0,0|1,single-choice,moral
14638,Loop,1,18,Men,College,0.66,0.17,FR,Europe,0,0|1,single-choice,moral
14638,Switch,1,18,Men,College,0.66,0.17,FR,Europe,0,0|1,single-choice,moral
14639,Footbridge,1,31,Women,No College,0.5,0.5,HK,Asia,0,0|1,single-choice,moral
14639,Loop,1,31,Women,No College,0.5,0.5,HK,Asia,0,0|1,single-choice,moral
14639,Switch,1,31,Women,No College,0.5,0.5,HK,Asia,0,0|1,single-choice,moral
14640,Footbridge,1,20,Women,No College,0.67,0.07,IT,Europe,0,0|1,single-choice,moral
14640,Loop,1,20,Women,No College,0.67,0.07,IT,Europe,0,0|1,single-choice,moral
14640,Switch,1,20,Women,No College,0.67,0.07,IT,Europe,0,0|1,single-choice,moral
14641,Footbridge,1,24,Men,College,0,0,GB,Europe,0,0|1,single-choice,moral
14641,Loop,1,24,Men,College,0,0,GB,Europe,0,0|1,single-choice,moral
14641,Switch,1,24,Men,College,0,0,GB,Europe,0,0|1,single-choice,moral
14642,Footbridge,1,28,Men,College,1,0.08,CZ,Europe,0,0|1,single-choice,moral
14642,Loop,1,28,Men,College,1,0.08,CZ,Europe,0,0|1,single-choice,moral
14642,Switch,1,28,Men,College,1,0.08,CZ,Europe,0,0|1,single-choice,moral
14643,Footbridge,0,21,Men,College,0.5,0,UA,Europe,0,0|1,single-choice,moral
14643,Loop,1,21,Men,College,0.5,0,UA,Europe,0,0|1,single-choice,moral
14643,Switch,1,21,Men,College,0.5,0,UA,Europe,0,0|1,single-choice,moral
14644,Footbridge,0,21,Women,No College,0.5,0.5,DE,Europe,0,0|1,single-choice,moral
14644,Loop,0,21,Women,No College,0.5,0.5,DE,Europe,0,0|1,single-choice,moral
14644,Switch,0,21,Women,No College,0.5,0.5,DE,Europe,0,0|1,single-choice,moral
14645,Footbridge,0,33,Women,College,0.38,0.6,TW,Asia,0,0|1,single-choice,moral
14645,Loop,0,33,Women,College,0.38,0.6,TW,Asia,0,0|1,single-choice,moral
14645,Switch,0,33,Women,College,0.38,0.6,TW,Asia,0,0|1,single-choice,moral
14646,Footbridge,0,28,Men,No College,1,0.71,CO,Americas,0,0|1,single-choice,moral
14646,Loop,1,28,Men,No College,1,0.71,CO,Americas,0,0|1,single-choice,moral
14646,Switch,1,28,Men,No College,1,0.71,CO,Americas,0,0|1,single-choice,moral
14647,Footbridge,1,30,Men,College,0.76,0.5,BR,Americas,0,0|1,single-choice,moral
14647,Loop,1,30,Men,College,0.76,0.5,BR,Americas,0,0|1,single-choice,moral
14647,Switch,1,30,Men,College,0.76,0.5,BR,Americas,0,0|1,single-choice,moral
14648,Footbridge,0,29,Women,College,0.9,0.07,US,Americas,0,0|1,single-choice,moral
14648,Loop,1,29,Women,College,0.9,0.07,US,Americas,0,0|1,single-choice,moral
14648,Switch,1,29,Women,College,0.9,0.07,US,Americas,0,0|1,single-choice,moral
14649,Footbridge,1,27,Men,College,0.65,0.17,DE,Europe,0,0|1,single-choice,moral
14649,Loop,1,27,Men,College,0.65,0.17,DE,Europe,0,0|1,single-choice,moral
14649,Switch,1,27,Men,College,0.65,0.17,DE,Europe,0,0|1,single-choice,moral
14650,Footbridge,0,21,Men,College,0.32,0,CN,Asia,0,0|1,single-choice,moral
14650,Loop,0,21,Men,College,0.32,0,CN,Asia,0,0|1,single-choice,moral
14650,Switch,0,21,Men,College,0.32,0,CN,Asia,0,0|1,single-choice,moral
14651,Footbridge,1,18,Men,College,0.92,0,NL,Europe,0,0|1,single-choice,moral
14651,Loop,1,18,Men,College,0.92,0,NL,Europe,0,0|1,single-choice,moral
14651,Switch,0,18,Men,College,0.92,0,NL,Europe,0,0|1,single-choice,moral
14652,Footbridge,0,36,Women,College,0.93,0.5,US,Americas,0,0|1,single-choice,moral
14652,Loop,1,36,Women,College,0.93,0.5,US,Americas,0,0|1,single-choice,moral
14652,Switch,0,36,Women,College,0.93,0.5,US,Americas,0,0|1,single-choice,moral
14653,Footbridge,1,32,Men,No College,0.5,0.16,ES,Europe,0,0|1,single-choice,moral
14653,Loop,1,32,Men,No College,0.5,0.16,ES,Europe,0,0|1,single-choice,moral
14653,Switch,1,32,Men,No College,0.5,0.16,ES,Europe,0,0|1,single-choice,moral
14654,Footbridge,1,20,Men,No College,0.66,0.31,MX,Americas,0,0|1,single-choice,moral
14654,Loop,1,20,Men,No College,0.66,0.31,MX,Americas,0,0|1,single-choice,moral
14654,Switch,1,20,Men,No College,0.66,0.31,MX,Americas,0,0|1,single-choice,moral
14655,Footbridge,0,24,Women,No College,0.86,0,BR,Americas,0,0|1,single-choice,moral
14655,Loop,1,24,Women,No College,0.86,0,BR,Americas,0,0|1,single-choice,moral
14655,Switch,0,24,Women,No College,0.86,0,BR,Americas,0,0|1,single-choice,moral
14656,Footbridge,1,21,Women,College,1,0,ES,Europe,0,0|1,single-choice,moral
14656,Loop,1,21,Women,College,1,0,ES,Europe,0,0|1,single-choice,moral
14656,Switch,1,21,Women,College,1,0,ES,Europe,0,0|1,single-choice,moral
14657,Footbridge,1,27,Men,College,0.18,0.14,ID,Asia,0,0|1,single-choice,moral
14657,Loop,1,27,Men,College,0.18,0.14,ID,Asia,0,0|1,single-choice,moral
14657,Switch,1,27,Men,College,0.18,0.14,ID,Asia,0,0|1,single-choice,moral
