id,Alter,Geschlecht,Bildungsabschluss,Beruf,Logikerfahrung,Mathekenntnisse,Gruppe,Task_ID,task,response,Hardness,domain,sequence,choices,response_type
1,43,m,High School,Construction,1,4,2,1,PW-RT,2,88,moral,1,1|2|3,single-choice
1,43,m,High School,Construction,1,4,2,2,OB-PW,1,90,moral,2,1|2|3,single-choice
1,43,m,High School,Construction,1,4,2,3,RT-OB,2,80,moral,3,1|2|3,single-choice
2,25,w,High School,Self-Employed,3,3,0,1,PW-RT,1,90,moral,1,1|2|3,single-choice
2,25,w,High School,Self-Employed,3,3,0,2,OB-PW,1,91,moral,2,1|2|3,single-choice
2,25,w,High School,Self-Employed,3,3,0,3,RT-OB,2,65,moral,3,1|2|3,single-choice
3,70,m,as,retire Manufacturing Engineer,2,3,2,1,PW-RT,2,81,moral,1,1|2|3,single-choice
3,70,m,as,retire Manufacturing Engineer,2,3,2,2,OB-PW,1,60,moral,2,1|2|3,single-choice
3,70,m,as,retire Manufacturing Engineer,2,3,2,3,RT-OB,2,77,moral,3,1|2|3,single-choice
4,29,w,Bachelor's,Accountant,2,2,1,1,PW-RT,2,38,moral,1,1|2|3,single-choice
4,29,w,Bachelor's,Accountant,2,2,1,2,OB-PW,1,65,moral,2,1|2|3,single-choice
4,29,w,Bachelor's,Accountant,2,2,1,3,RT-OB,2,8,moral,3,1|2|3,single-choice
5,41,m,high school,freelancer,2,3,1,1,PW-RT,1,50,moral,1,1|2|3,single-choice
5,41,m,high school,freelancer,2,3,1,2,OB-PW,1,52,moral,2,1|2|3,single-choice
5,41,m,high school,freelancer,2,3,1,3,RT-OB,2,50,moral,3,1|2|3,single-choice
6,37,m,Bachelor's Degree,Chargeback Specialist,2,2,0,1,PW-RT,2,85,moral,1,1|2|3,single-choice
6,37,m,Bachelor's Degree,Chargeback Specialist,2,2,0,2,OB-PW,1,100,moral,2,1|2|3,single-choice
6,37,m,Bachelor's Degree,Chargeback Specialist,2,2,0,3,RT-OB,2,17,moral,3,1|2|3,single-choice
7,45,m,Masters,Stay-at-home,2,2,2,1,PW-RT,1,73,moral,1,1|2|3,single-choice
7,45,m,Masters,Stay-at-home,2,2,2,2,OB-PW,1,74,moral,2,1|2|3,single-choice
7,45,m,Masters,Stay-at-home,2,2,2,3,RT-OB,3,1,moral,3,1|2|3,single-choice
8,32,w,BA,Self Employed,1,3,2,1,PW-RT,2,100,moral,1,1|2|3,single-choice
8,32,w,BA,Self Employed,1,3,2,2,OB-PW,3,100,moral,2,1|2|3,single-choice
8,32,w,BA,Self Employed,1,3,2,3,RT-OB,2,50,moral,3,1|2|3,single-choice
9,29,m,High School,Network Engineer,3,2,1,1,PW-RT,1,82,moral,1,1|2|3,single-choice
9,29,m,High School,Network Engineer,3,2,1,2,OB-PW,1,40,moral,2,1|2|3,single-choice
9,29,m,High School,Network Engineer,3,2,1,3,RT-OB,2,68,moral,3,1|2|3,single-choice
10,63,m,bachelor,consultant,3,4,0,1,PW-RT,1,77,moral,1,1|2|3,single-choice
10,63,m,bachelor,consultant,3,4,0,2,OB-PW,3,96,moral,2,1|2|3,single-choice
10,63,m,bachelor,consultant,3,4,0,3,RT-OB,2,29,moral,3,1|2|3,single-choice
11,45,m,Trade school,Actor,1,3,2,1,PW-RT,2,28,moral,1,1|2|3,single-choice
11,45,m,Trade school,Actor,1,3,2,2,OB-PW,3,20,moral,2,1|2|3,single-choice
11,45,m,Trade school,Actor,1,3,2,3,RT-OB,2,0,moral,3,1|2|3,single-choice
12,48,m,high school,consultant,2,3,1,1,PW-RT,1,71,moral,1,1|2|3,single-choice
12,48,m,high school,consultant,2,3,1,2,OB-PW,1,70,moral,2,1|2|3,single-choice
12,48,m,high school,consultant,2,3,1,3,RT-OB,2,65,moral,3,1|2|3,single-choice
13,54,w,Associate,Retail,3,2,0,1,PW-RT,2,84,moral,1,1|2|3,single-choice
13,54,w,Associate,Retail,3,2,0,2,OB-PW,1,76,moral,2,1|2|3,single-choice
13,54,w,Associate,Retail,3,2,0,3,RT-OB,2,82,moral,3,1|2|3,single-choice
14,28,w,high school diploma,caretaker for disabled mother,2,1,2,1,PW-RT,2,35,moral,1,1|2|3,single-choice
14,28,w,high school diploma,caretaker for disabled mother,2,1,2,2,OB-PW,1,37,moral,2,1|2|3,single-choice
14,28,w,high school diploma,caretaker for disabled mother,2,1,2,3,RT-OB,2,50,moral,3,1|2|3,single-choice
