id,task,response,survey.age,survey.gender,survey.education,survey.political,survey.religious,country_code,Continent,sequence,choices,response_type,domain
0,Footbridge,1,23,Men,College,0.66,0,IT,Europe,0,0|1,single-choice,moral
0,Loop,1,23,Men,College,0.66,0,IT,Europe,0,0|1,single-choice,moral
0,Switch,1,23,Men,College,0.66,0,IT,Europe,0,0|1,single-choice,moral
1,Footbridge,0,57,Men,No College,0.72,0.16,IT,Europe,0,0|1,single-choice,moral
1,Loop,1,57,Men,No College,0.72,0.16,IT,Europe,0,0|1,single-choice,moral
1,Switch,1,57,Men,No College,0.72,0.16,IT,Europe,0,0|1,single-choice,moral
2,Footbridge,0,19,Men,College,0.77,0,HK,Asia,0,0|1,single-choice,moral
2,Loop,0,19,Men,College,0.77,0,HK,Asia,0,0|1,single-choice,moral
2,Switch,0,19,Men,College,0.77,0,HK,Asia,0,0|1,single-choice,moral
3,Footbridge,0,22,Men,No College,0,0.13,HU,Europe,0,0|1,single-choice,moral
3,Loop,0,22,Men,No College,0,0.13,HU,Europe,0,0|1,single-choice,moral
3,Switch,0,22,Men,No College,0,0.13,HU,Europe,0,0|1,single-choice,moral
4,Footbridge,1,23,Men,No College,0.5,0,US,Americas,0,0|1,single-choice,moral
4,Loop,1,23,Men,No College,0.5,0,US,Americas,0,0|1,single-choice,moral
4,Switch,1,23,Men,No College,0.5,0,US,Americas,0,0|1,single-choice,moral
5,Footbridge,0,32,Men,College,1,0,US,Americas,0,0|1,single-choice,moral
5,Loop,1,32,Men,College,1,0,US,Americas,0,0|1,single-choice,moral
5,Switch,1,32,Men,College,1,0,US,Americas,0,0|1,single-choice,moral
6,Footbridge,1,20,Men,No College,1,1,US,Americas,0,0|1,single-choice,moral
6,Loop,1,20,Men,No College,1,1,US,Americas,0,0|1,single-choice,moral
6,Switch,1,20,Men,No College,1,1,US,Americas,0,0|1,single-choice,moral
7,Footbridge,1,35,Men,No College,1,0.18,DE,Europe,0,0|1,single-choice,moral
7,Loop,1,35,Men,No College,1,0.18,DE,Europe,0,0|1,single-choice,moral
7,Switch,1,35,Men,No College,1,0.18,DE,Europe,0,0|1,single-choice,moral
8,Footbridge,0,18,Women,No College,0.77,0,PL,Europe,0,0|1,single-choice,moral
8,Loop,1,18,Women,No College,0.77,0,PL,Europe,0,0|1,single-choice,moral
8,Switch,1,18,Women,No College,0.77,0,PL,Europe,0,0|1,single-choice,moral
9,Footbridge,1,36,Men,College,0.5,0,CR,Americas,0,0|1,single-choice,moral
9,Loop,1,36,Men,College,0.5,0,CR,Americas,0,0|1,single-choice,moral
9,Switch,0,36,Men,College,0.5,0,CR,Americas,0,0|1,single-choice,moral
10,Footbridge,0,21,Men,College,0.8,0.05,CZ,Europe,0,0|1,single-choice,moral
10,Loop,1,21,Men,College,0.8,0.05,CZ,Europe,0,0|1,single-choice,moral
10,Switch,1,21,Men,College,0.8,0.05,CZ,Europe,0,0|1,single-choice,moral
11,Footbridge,0,32,Men,College,0.58,0.28,GB,Europe,0,0|1,single-choice,moral
11,Loop,1,32,Men,College,0.58,0.28,GB,Europe,0,0|1,single-choice,moral
11,Switch,1,32,Men,College,0.58,0.28,GB,Europe,0,0|1,single-choice,moral
12,Footbridge,0,22,Men,No College,0.5,0,PL,Europe,0,0|1,single-choice,moral
12,Loop,0,22,Men,No College,0.5,0,PL,Europe,0,0|1,single-choice,moral
12,Switch,0,22,Men,No College,0.5,0,PL,Europe,0,0|1,single-choice,moral
13,Footbridge,1,45,Women,College,0.64,0.13,FR,Europe,0,0|1,single-choice,moral
13,Loop,1,45,Women,College,0.64,0.13,FR,Europe,0,0|1,single-choice,moral
13,Switch,1,45,Women,College,0.64,0.13,FR,Europe,0,0|1,single-choice,moral
14,Footbridge,0,21,Men,No College,0.76,0.17,DE,Europe,0,0|1,single-choice,moral
14,Loop,1,21,Men,No College,0.76,0.17,DE,Europe,0,0|1,single-choice,moral
14,Switch,0,21,Men,No College,0.76,0.17,DE,Europe,0,0|1,single-choice,moral
15,Footbridge,0,28,Men,College,0.77,0,AU,Oc.,0,0|1,single-choice,moral
15,Loop,1,28,Men,College,0.77,0,AU,Oc.,0,0|1,single-choice,moral
15,Switch,1,28,Men,College,0.77,0,AU,Oc.,0,0|1,single-choice,moral
16,Footbridge,1,26,Men,No College,0.5,0,FR,Europe,0,0|1,single-choice,moral
16,Loop,1,26,Men,No College,0.5,0,FR,Europe,0,0|1,single-choice,moral
16,Switch,1,26,Men,No College,0.5,0,FR,Europe,0,0|1,single-choice,moral
17,Footbridge,1,18,Women,No College,0.5,0.01,MX,Americas,0,0|1,single-choice,moral
17,Loop,1,18,Women,No College,0.5,0.01,MX,Americas,0,0|1,single-choice,moral
17,Switch,1,18,Women,No College,0.5,0.01,MX,Americas,0,0|1,single-choice,moral
18,Footbridge,0,21,Women,College,0.36,0.77,AU,Oc.,0,0|1,single-choice,moral
18,Loop,1,21,Women,College,0.36,0.77,AU,Oc.,0,0|1,single-choice,moral
18,Switch,1,21,Women,College,0.36,0.77,AU,Oc.,0,0|1,single-choice,moral
19,Footbridge,0,27,Men,College,0.76,0,RU,Europe,0,0|1,single-choice,moral
19,Loop,1,27,Men,College,0.76,0,RU,Europe,0,0|1,single-choice,moral
19,Switch,1,27,Men,College,0.76,0,RU,Europe,0,0|1,single-choice,moral
20,Footbridge,0,24,Men,College,1,1,CN,Asia,0,0|1,single-choice,moral
20,Loop,0,24,Men,College,1,1,CN,Asia,0,0|1,single-choice,moral
20,Switch,0,24,Men,College,1,1,CN,Asia,0,0|1,single-choice,moral
21,Footbridge,1,23,Men,No College,0.5,0.5,ID,Asia,0,0|1,single-choice,moral
21,Loop,1,23,Men,No College,0.5,0.5,ID,Asia,0,0|1,single-choice,moral
21,Switch,1,23,Men,No College,0.5,0.5,ID,Asia,0,0|1,single-choice,moral
22,Footbridge,0,25,Women,College,0.23,0.17,RU,Europe,0,0|1,single-choice,moral
22,Loop,1,25,Women,College,0.23,0.17,RU,Europe,0,0|1,single-choice,moral
22,Switch,1,25,Women,College,0.23,0.17,RU,Europe,0,0|1,single-choice,moral
23,Footbridge,1,27,Men,College,0.93,0,ES,Europe,0,0|1,single-choice,moral
23,Loop,1,27,Men,College,0.93,0,ES,Europe,0,0|1,single-choice,moral
23,Switch,1,27,Men,College,0.93,0,ES,Europe,0,0|1,single-choice,moral
24,Footbridge,1,28,Men,College,1,0,RU,Europe,0,0|1,single-choice,moral
24,Loop,1,28,Men,College,1,0,RU,Europe,0,0|1,single-choice,moral
24,Switch,1,28,Men,College,1,0,RU,Europe,0,0|1,single-choice,moral
25,Footbridge,0,47,Men,College,1,0,PM,Americas,0,0|1,single-choice,moral
25,Loop,1,47,Men,College,1,0,PM,Americas,0,0|1,single-choice,moral
25,Switch,1,47,Men,College,1,0,PM,Americas,0,0|1,single-choice,moral
26,Footbridge,0,27,Men,College,1,0,AT,Europe,0,0|1,single-choice,moral
26,Loop,0,27,Men,College,1,0,AT,Europe,0,0|1,single-choice,moral
26,Switch,0,27,Men,College,1,0,AT,Europe,0,0|1,single-choice,moral
27,Footbridge,0,21,Women,College,1,0,US,Americas,0,0|1,single-choice,moral
27,Loop,1,21,Women,College,1,0,US,Americas,0,0|1,single-choice,moral
27,Switch,1,21,Women,College,1,0,US,Americas,0,0|1,single-choice,moral
28,Footbridge,0,19,Men,College,1,0,CR,Americas,0,0|1,single-choice,moral
28,Loop,0,19,Men,College,1,0,CR,Americas,0,0|1,single-choice,moral
28,Switch,0,19,Men,College,1,0,CR,Americas,0,0|1,single-choice,moral
29,Footbridge,0,27,Men,College,0.5,0.5,FR,Europe,0,0|1,single-choice,moral
29,Loop,1,27,Men,College,0.5,0.5,FR,Europe,0,0|1,single-choice,moral
29,Switch,1,27,Men,College,0.5,0.5,FR,Europe,0,0|1,single-choice,moral
30,Footbridge,1,27,Men,College,0.58,0,FR,Europe,0,0|1,single-choice,moral
30,Loop,1,27,Men,College,0.58,0,FR,Europe,0,0|1,single-choice,moral
30,Switch,1,27,Men,College,0.58,0,FR,Europe,0,0|1,single-choice,moral
31,Footbridge,1,22,Men,College,0.39,0.09,TW,Asia,0,0|1,single-choice,moral
31,Loop,1,22,Men,College,0.39,0.09,TW,Asia,0,0|1,single-choice,moral
31,Switch,1,22,Men,College,0.39,0.09,TW,Asia,0,0|1,single-choice,moral
32,Footbridge,1,24,Men,College,0.5,0.5,PT,Europe,0,0|1,single-choice,moral
32,Loop,1,24,Men,College,0.5,0.5,PT,Europe,0,0|1,single-choice,moral
32,Switch,1,24,Men,College,0.5,0.5,PT,Europe,0,0|1,single-choice,moral
33,Footbridge,0,21,Men,No College,0.48,0.5,BO,Americas,0,0|1,single-choice,moral
33,Loop,1,21,Men,No College,0.48,0.5,BO,Americas,0,0|1,single-choice,moral
33,Switch,1,21,Men,No College,0.48,0.5,BO,Americas,0,0|1,single-choice,moral
34,Footbridge,0,22,Men,No College,0,1,FR,Europe,0,0|1,single-choice,moral
34,Loop,1,22,Men,No College,0,1,FR,Europe,0,0|1,single-choice,moral
34,Switch,1,22,Men,No College,0,1,FR,Europe,0,0|1,single-choice,moral
35,Footbridge,0,19,Men,College,0.6,0.49,PH,Asia,0,0|1,single-choice,moral
35,Loop,1,19,Men,College,0.6,0.49,PH,Asia,0,0|1,single-choice,moral
35,Switch,1,19,Men,College,0.6,0.49,PH,Asia,0,0|1,single-choice,moral
36,Footbridge,1,28,Men,College,1,0,US,Americas,0,0|1,single-choice,moral
36,Loop,0,28,Men,College,1,0,US,Americas,0,0|1,single-choice,moral
36,Switch,1,28,Men,College,1,0,US,Americas,0,0|1,single-choice,moral
37,Footbridge,1,26,Men,College,0.98,0,FR,Europe,0,0|1,single-choice,moral
37,Loop,1,26,Men,College,0.98,0,FR,Europe,0,0|1,single-choice,moral
37,Switch,1,26,Men,College,0.98,0,FR,Europe,0,0|1,single-choice,moral
38,Footbridge,0,38,Men,College,0.35,0.06,KR,Asia,0,0|1,single-choice,moral
38,Loop,1,38,Men,College,0.35,0.06,KR,Asia,0,0|1,single-choice,moral
38,Switch,1,38,Men,College,0.35,0.06,KR,Asia,0,0|1,single-choice,moral
39,Footbridge,0,35,Men,College,0.5,0.14,BE,Europe,0,0|1,single-choice,moral
39,Loop,1,35,Men,College,0.5,0.14,BE,Europe,0,0|1,single-choice,moral
39,Switch,1,35,Men,College,0.5,0.14,BE,Europe,0,0|1,single-choice,moral
40,Footbridge,0,23,Women,College,1,0,AR,Americas,0,0|1,single-choice,moral
40,Loop,1,23,Women,College,1,0,AR,Americas,0,0|1,single-choice,moral
40,Switch,0,23,Women,College,1,0,AR,Americas,0,0|1,single-choice,moral
41,Footbridge,1,51,Men,College,0.11,0.91,US,Americas,0,0|1,single-choice,moral
41,Loop,0,51,Men,College,0.11,0.91,US,Americas,0,0|1,single-choice,moral
41,Switch,0,51,Men,College,0.11,0.91,US,Americas,0,0|1,single-choice,moral
42,Footbridge,1,38,Men,College,0.5,0,RU,Europe,0,0|1,single-choice,moral
42,Loop,1,38,Men,College,0.5,0,RU,Europe,0,0|1,single-choice,moral
42,Switch,1,38,Men,College,0.5,0,RU,Europe,0,0|1,single-choice,moral
43,Footbridge,1,24,Women,College,0.76,0.14,US,Americas,0,0|1,single-choice,moral
43,Loop,0,24,Women,College,0.76,0.14,US,Americas,0,0|1,single-choice,moral
43,Switch,0,24,Women,College,0.76,0.14,US,Americas,0,0|1,single-choice,moral
44,Footbridge,0,21,Women,College,1,0,DE,Europe,0,0|1,single-choice,moral
44,Loop,0,21,Women,College,1,0,DE,Europe,0,0|1,single-choice,moral
44,Switch,0,21,Women,College,1,0,DE,Europe,0,0|1,single-choice,moral
45,Footbridge,0,25,Men,College,0.5,0,GB,Europe,0,0|1,single-choice,moral
45,Loop,1,25,Men,College,0.5,0,GB,Europe,0,0|1,single-choice,moral
45,Switch,1,25,Men,College,0.5,0,GB,Europe,0,0|1,single-choice,moral
46,Footbridge,0,25,Men,College,1,0,GB,Europe,0,0|1,single-choice,moral
46,Loop,1,25,Men,College,1,0,GB,Europe,0,0|1,single-choice,moral
46,Switch,1,25,Men,College,1,0,GB,Europe,0,0|1,single-choice,moral
47,Footbridge,1,20,Men,College,0.5,0,AR,Americas,0,0|1,single-choice,moral
47,Loop,1,20,Men,College,0.5,0,AR,Americas,0,0|1,single-choice,moral
47,Switch,1,20,Men,College,0.5,0,AR,Americas,0,0|1,single-choice,moral
48,Footbridge,1,18,Men,No College,1,0.5,IT,Europe,0,0|1,single-choice,moral
48,Loop,1,18,Men,No College,1,0.5,IT,Europe,0,0|1,single-choice,moral
48,Switch,1,18,Men,No College,1,0.5,IT,Europe,0,0|1,single-choice,moral
49,Footbridge,1,21,Men,College,0.93,0,SE,Europe,0,0|1,single-choice,moral
49,Loop,1,21,Men,College,0.93,0,SE,Europe,0,0|1,single-choice,moral
49,Switch,1,21,Men,College,0.93,0,SE,Europe,0,0|1,single-choice,moral
50,Footbridge,0,21,Men,College,1,0,BY,Europe,0,0|1,single-choice,moral
50,Loop,1,21,Men,College,1,0,BY,Europe,0,0|1,single-choice,moral
50,Switch,1,21,Men,College,1,0,BY,Europe,0,0|1,single-choice,moral
51,Footbridge,0,30,Men,No College,0.5,1,BR,Americas,0,0|1,single-choice,moral
51,Loop,0,30,Men,No College,0.5,1,BR,Americas,0,0|1,single-choice,moral
51,Switch,1,30,Men,No College,0.5,1,BR,Americas,0,0|1,single-choice,moral
52,Footbridge,0,37,Men,College,0.5,0.5,RU,Europe,0,0|1,single-choice,moral
52,Loop,0,37,Men,College,0.5,0.5,RU,Europe,0,0|1,single-choice,moral
52,Switch,1,37,Men,College,0.5,0.5,RU,Europe,0,0|1,single-choice,moral
53,Footbridge,1,26,Men,College,0.55,0.47,CO,Americas,0,0|1,single-choice,moral
53,Loop,0,26,Men,College,0.55,0.47,CO,Americas,0,0|1,single-choice,moral
53,Switch,1,26,Men,College,0.55,0.47,CO,Americas,0,0|1,single-choice,moral
54,Footbridge,0,19,Women,College,0.82,0.23,GB,Europe,0,0|1,single-choice,moral
54,Loop,1,19,Women,College,0.82,0.23,GB,Europe,0,0|1,single-choice,moral
54,Switch,1,19,Women,College,0.82,0.23,GB,Europe,0,0|1,single-choice,moral
55,Footbridge,1,30,Women,College,0.5,0,CN,Asia,0,0|1,single-choice,moral
55,Loop,0,30,Women,College,0.5,0,CN,Asia,0,0|1,single-choice,moral
