,id,CLOCK,MORALREASONING-TRIAL-HEADER,NO-CONTACT-TYPE,NICK,WRITER,WORDS-C,WORDS-NC,CONTACT-TYPE,response,CONTACT-EFFECT,REVERSE-EDIT,REV-PLAUSIBLE,IRRESOLVABLE-EDIT,IRR-PLAUSIBLE,sequence,REACTION-TIME,NOTES,domain,response_type,choices,task
0,2,1188355363.31997,MORALREASONING-TRIAL,PERSON,Pregnancy,JL,119,119,NOCONTACT,PERMISSIBLE,HIT,"if the woman were young and had a really promising event in the future (wedding, job of her dreams)",PLAUSIBLE,"(how can there be three twins?)if the woman had written a form explicitly stating that she could not be taken off life support, etc (ie, could not be killed by a doctor), and if the children were his own and his dead wife\'s and were implanted in this surrogate mother.",PLAUSIBLE,3,365.76134,,moral,single-choice,PERMISSIBLE|IMPERMISSIBLE,Pregnancy;NOCONTACT
1,2,1188354997.55545,MORALREASONING-TRIAL,MECHANISM,Motorboat,Hauser,118,118,NOCONTACT,PERMISSIBLE,HIT,If there were another boat nearby that would be able to save at least a few of the swimmers should David choose not to rescue them - then he would not kill anyone and some of the swimmers would live.,PLAUSIBLE,"If the passenger were a close friend of his, like a brother to him, the son of a family that had taken him in after this parents died, someone he owed everything to and loved. and if the swimmers were his children",PLAUSIBLE,2,235.391856,,moral,single-choice,PERMISSIBLE|IMPERMISSIBLE,Motorboat;NOCONTACT
2,2,1188355984.99014,MORALREASONING-TRIAL,MECHANISM,Railroad,Hauser,139,139,NOCONTACT,PERMISSIBLE,HIT,if the person who would fall was the president,PLAUSIBLE,"if there was a chance that the person would miss the tracks and be killed, and then the 5 people would also be killed",PLAUSIBLE,5,202.147869,,moral,single-choice,PERMISSIBLE|IMPERMISSIBLE,Railroad;NOCONTACT
3,2,1188356157.60762,MORALREASONING-TRIAL,PERSON,Ship,JL,103,103,CONTACT,PERMISSIBLE,MISS,if the weakest individuals were the children of the other members,PLAUSIBLE,"if the weakest members were amuptees from a war with no arms so they can\'t row, and the ship was originally taking them to a celebration celebrating their war efforts and giving them awards like the purple heart",PLAUSIBLE,6,172.614814,,moral,single-choice,PERMISSIBLE|IMPERMISSIBLE,Ship;CONTACT
4,2,1188355782.83954,MORALREASONING-TRIAL,MECHANISM,Fireman,Hauser,140,145,CONTACT,PERMISSIBLE,MISS,if the man were mentally disabled,PLAUSIBLE,"If there is a pretty large chance that the man would not break the window, but throwing him at it would kill him and make him fall to the ground, and peter wouldn\'t have enough strength to lift the dead weight and they all would die.",PLAUSIBLE,4,419.516717,,moral,single-choice,PERMISSIBLE|IMPERMISSIBLE,Fireman;CONTACT
5,2,1188354762.16094,MORALREASONING-TRIAL,PERSON,Accident,JL,137,137,CONTACT,PERMISSIBLE,MISS,If she were happy with her life and would be expected to live more than 5 years as opposed to dying very soon.,PLAUSIBLE,If the brothers didn\'t want to kill their sister and at the same time the sister was willing to die for them and both had very strong beliefs on this.,PLAUSIBLE,1,167.559983,,moral,single-choice,PERMISSIBLE|IMPERMISSIBLE,Accident;CONTACT
6,5,1189018502.42158,MORALREASONING-TRIAL,PERSON,Ship,JL,103,103,NOCONTACT,PERMISSIBLE,HIT,Some of the strong people can swim. They may try to stay in the water until the rescue helicopter comes.,PLAUSIBLE,No one knows when the rescue people could come. The weakes individuals may die even they stay on the boat. The strongest swimmer may not survive in the water until the rescuers come.,PLAUSIBLE,3,239.219788,,moral,single-choice,PERMISSIBLE|IMPERMISSIBLE,Ship;NOCONTACT
7,5,1189018263.19787,MORALREASONING-TRIAL,PERSON,Pregnancy,JL,119,119,NOCONTACT,IMPERMISSIBLE,MISS,"The woman will not get better even her life is saved. She may die after some time, half a year at the most.",PLAUSIBLE,It is hard to tell if the woman could recover later even without operate. She might be always in the coma. Yet there is also chances that she may get better after good attendance.,PLAUSIBLE,2,377.55282,,moral,single-choice,PERMISSIBLE|IMPERMISSIBLE,Pregnancy;NOCONTACT
8,5,1189019207.42243,MORALREASONING-TRIAL,MECHANISM,Motorboat,Hauser,118,118,NOCONTACT,PERMISSIBLE,HIT,The people is David father,PLAUSIBLE,David\'s father insist him accelerating,IMPLAUSIBLE,6,113.55896,,moral,single-choice,PERMISSIBLE|IMPERMISSIBLE,Motorboat;NOCONTACT
9,5,1189017885.64177,MORALREASONING-TRIAL,MECHANISM,Fireman,Hauser,140,145,CONTACT,PERMISSIBLE,MISS,"If the man is strong enough so that he can help Peter to save the children, since he is on the way towards safely escaping.",PLAUSIBLE,The man is carrying two babies in his hand.,PLAUSIBLE,1,415.183409,,moral,single-choice,PERMISSIBLE|IMPERMISSIBLE,Fireman;CONTACT
