id,sequence,choices,response,correct,mode,response_type,domain,length,task,isTesting,end
D139,1,1|2,1,1,training,single-choice,spatial-relational,5,1/2,0,
D139,1,1|2,1,1,training,single-choice,spatial-relational,5,1/2,0,
D139,1,1|2,1,1,training,single-choice,spatial-relational,5,1/2,0,
D139,1,1|2,1,1,training,single-choice,spatial-relational,5,1/2,0,
D139,1,1|2,1,1,training,single-choice,spatial-relational,5,1/2,0,
D139,1,1|2,1,1,training,single-choice,spatial-relational,5,1/2,0,
D139,1,1|2,1,1,training,single-choice,spatial-relational,5,1/2,0,
D139,1,1|2,1,1,training,single-choice,spatial-relational,5,1/2,0,
D139,1,1|2,1,1,training,single-choice,spatial-relational,5,1/2,0,
D139,1,1|2,1,1,training,single-choice,spatial-relational,5,1/2,0,
D187,1,1|2,1,1,training,single-choice,spatial-relational,5,1/2,0,
D187,1,1|2,1,1,training,single-choice,spatial-relational,5,1/2,0,
D187,1,1|2,1,1,training,single-choice,spatial-relational,5,1/2,0,
D187,1,1|2,1,1,training,single-choice,spatial-relational,5,1/2,0,
D187,1,1|2,2,0,training,single-choice,spatial-relational,5,1/2,0,
D187,1,1|2,2,0,training,single-choice,spatial-relational,5,1/2,0,
D187,1,1|2,2,0,training,single-choice,spatial-relational,5,1/2,0,
D187,1,1|2,2,0,training,single-choice,spatial-relational,5,1/2,0,
D187,1,1|2,2,0,training,single-choice,spatial-relational,5,1/2,0,
D187,1,1|2,2,0,training,single-choice,spatial-relational,5,1/2,0,
D201,1,1|2,1,1,training,single-choice,spatial-relational,5,1/2,0,
D201,1,1|2,1,1,training,single-choice,spatial-relational,5,1/2,0,
D201,1,1|2,1,1,training,single-choice,spatial-relational,5,1/2,0,
D201,1,1|2,1,1,training,single-choice,spatial-relational,5,1/2,0,
D201,1,1|2,1,1,training,single-choice,spatial-relational,5,1/2,0,
D201,1,1|2,2,0,training,single-choice,spatial-relational,5,1/2,0,
D201,1,1|2,2,0,training,single-choice,spatial-relational,5,1/2,0,
D201,1,1|2,2,0,training,single-choice,spatial-relational,5,1/2,0,
