Task-ID,most_frequent_response
1,south
2,south-west
3,south-west
4,west
5,north
6,east
7,south-east
8,south-east
9,south-west
10,south-west
11,south-west
12,west
13,west
14,['east' 'north-east']
15,south
16,south
17,south-west
18,south-west
19,west
20,north-west
21,north-west
22,north
23,east
24,south
25,west
26,west
27,north-west
28,north-west
29,north-west
30,north
31,north
32,north-west
33,south
34,west
35,north-west
36,north-west
37,north
38,north-east
39,north-east
40,east
41,east
42,east
43,north
44,north
45,north-east
46,north-east
47,north-east
48,east
49,south-east
50,south
51,east
52,north
53,north-east
54,north-east
55,east
56,south-east
57,south-east
58,south
59,south
60,west
61,east
62,east
63,south-east
64,south-east
