task,choices,Task-ID
Left;fig;cherry/Left;cherry;kiwi/Left;cherry;plum/Left;plum;apple/,Left;fig;cherry/Left;cherry;kiwi/Left;kiwi;plum/Left;plum;apple,1
Left;cherry;peach/Left;peach;lemon/Left;peach;mango/Left;mango;apple/,Left;cherry;peach/Left;peach;lemon/Left;lemon;mango/Left;mango;apple,1
Left;cherry;apple/Left;apple;fig/Left;apple;lime/Left;lime;mango/,Left;cherry;apple/Left;apple;fig/Left;fig;lime/Left;lime;mango,1
Left;lime;fig/Left;fig;cherry/Left;fig;mango/Left;mango;pear/,Left;lime;fig/Left;fig;cherry/Left;cherry;mango/Left;mango;pear,1
Left;lime;orange/Left;orange;cherry/Left;orange;mango/Left;mango;plum/,Left;lime;orange/Left;orange;cherry/Left;cherry;mango/Left;mango;plum,1
Left;fig;kiwi/Left;kiwi;apricot/Left;kiwi;plum/Left;plum;lime/,Left;fig;kiwi/Left;kiwi;apricot/Left;apricot;plum/Left;plum;lime,1
Left;pear;apricot/Left;apricot;mango/Left;apricot;cherry/Left;cherry;lemon/,Left;pear;apricot/Left;apricot;mango/Left;mango;cherry/Left;cherry;lemon,1
Left;apple;kiwi/Left;kiwi;peach/Left;kiwi;lemon/Left;lemon;orange/,Left;apple;kiwi/Left;kiwi;peach/Left;peach;lemon/Left;lemon;orange,1
Left;peach;apple/Left;apple;fig/Left;apple;lemon/Left;lemon;kiwi/,Left;peach;apple/Left;apple;fig/Left;fig;lemon/Left;lemon;kiwi,1
Left;lemon;apricot/Left;apricot;cherry/Left;apricot;peach/Left;peach;kiwi/,Left;lemon;apricot/Left;apricot;cherry/Left;cherry;peach/Left;peach;kiwi,1
Left;apple;lime/Left;lime;fig/Left;lime;plum/Left;plum;orange/,Left;apple;lime/Left;lime;fig/Left;fig;plum/Left;plum;orange,1
Left;apricot;mango/Left;mango;fig/Left;mango;pear/Left;pear;lime/,Left;apricot;mango/Left;mango;fig/Left;fig;pear/Left;pear;lime,1
Left;cherry;fig/Left;fig;orange/Left;fig;apple/Left;apple;kiwi/,Left;cherry;fig/Left;fig;orange/Left;orange;apple/Left;apple;kiwi,1
