id,sequence,domain,task,response_type,choices,response,truth,type_of_syllogism,response_time,ldt_rw,ldt_uw,rt_avg
1,7,syllogistic,All;flower;water/No;computer;flower,verify,No;computer;water,True,False,match-invalid,12308,668.83,647.0,8914.33
1,17,syllogistic,No;elephant;car/All;car;petrol,verify,No;elephant;petrol,False,False,match-invalid,245,650.8,889.2,8914.33
1,12,syllogistic,All;snake;reptile/No;rabbit;snake,verify,No;rabbit;reptile,True,False,match-invalid,5276,761.17,701.0,8914.33
1,4,syllogistic,No;stone;cat/All;cat;eyes,verify,No;stone;eyes,False,False,match-invalid,7274,897.83,664.5,8914.33
1,15,syllogistic,All;Finland;country in the north/No;country in the north;hot,verify,No;Finland;hot,True,True,match-valid,3912,794.6,821.33,8914.33
1,8,syllogistic,No;fruit;dairy product/All;apple;fruit,verify,No;apple;dairy product,True,True,match-valid,11348,695.17,591.0,8914.33
1,18,syllogistic,All;ant;insect/No;insect;backbone,verify,No;ant;backbone,True,True,match-valid,2831,747.33,815.5,8914.33
1,9,syllogistic,No;animal;immortal/All;bird;animal,verify,No;bird;immortal,True,True,match-valid,3534,717.5,741.83,8914.33
1,3,syllogistic,All;bat;mammal/No;mammal;fly,verify,All;bat;fly,False,False,mismatch-invalid,8390,666.67,698.5,8914.33
1,6,syllogistic,All;dolphin;animal/No;cold-blooded animal;dolphin,verify,Some not;animal;cold-blooded,False,True,mismatch-valid,21846,657.0,725.0,8914.33
1,13,syllogistic,All;cream;object with lots of odour/No;object with lots of odour;metallic object,verify,Some not;metallic object;cream,True,True,mismatch-valid,14728,718.83,594.0,8914.33
1,10,syllogistic,All;pilot;driver/No;autism;pilot,verify,Some not;driver;autism,True,True,mismatch-valid,10626,696.5,706.0,8914.33
1,5,syllogistic,All;sailing champion;swimm well/No;swimm well;paralytic,verify,Some not;paralytic;sailing champion,True,True,mismatch-valid,18708,756.67,800.5,8914.33
1,16,syllogistic,No;object with wheal;boat/All;vehicle;object with wheal,verify,Some not;vehicle;boat,True,False,mismatch-invalid,3372,613.0,946.83,8914.33
1,14,syllogistic,All;men;Y gene/No;Y gene;ova,verify,Some not;men;ova,False,False,mismatch-invalid,9317,650.0,760.4,8914.33
2,20,syllogistic,All;bat;mammal/No;mammal;fly,verify,All;bat;fly,False,False,mismatch-invalid,8850,542.0,631.67,6352.71
2,5,syllogistic,All;flower;water/No;computer;flower,verify,No;computer;water,False,False,match-invalid,5679,596.33,615.0,6352.71
2,17,syllogistic,No;elephant;car/All;car;petrol,verify,No;elephant;petrol,False,False,match-invalid,1843,674.17,512.4,6352.71
2,18,syllogistic,All;snake;reptile/No;rabbit;snake,verify,No;rabbit;reptile,False,False,match-invalid,6433,675.0,570.0,6352.71
2,15,syllogistic,No;stone;cat/All;cat;eyes,verify,No;stone;eyes,False,False,match-invalid,15264,657.6,617.67,6352.71
2,16,syllogistic,All;Finland;country in the north/No;country in the north;hot,verify,No;Finland;hot,True,True,match-valid,4246,578.33,535.17,6352.71
2,13,syllogistic,No;fruit;dairy product/All;apple;fruit,verify,No;apple;dairy product,True,True,match-valid,6181,495.5,565.17,6352.71
2,3,syllogistic,All;ant;insect/No;insect;backbone,verify,No;ant;backbone,True,True,match-valid,2549,651.8,641.67,6352.71
2,11,syllogistic,No;animal;immortal/All;bird;animal,verify,No;bird;immortal,True,True,match-valid,5301,724.17,516.33,6352.71
2,6,syllogistic,All;dolphin;animal/No;cold-blooded animal;dolphin,verify,Some not;animal;cold-blooded,True,True,mismatch-valid,11851,568.5,555.17,6352.71
2,4,syllogistic,All;cream;object with lots of odour/No;object with lots of odour;metallic object,verify,Some not;metallic object;cream,False,True,mismatch-valid,4082,584.0,687.67,6352.71
2,14,syllogistic,All;pilot;driver/No;autism;pilot,verify,Some not;driver;autism,False,True,mismatch-valid,3303,669.17,672.83,6352.71
2,9,syllogistic,All;sailing champion;swimm well/No;swimm well;paralytic,verify,Some not;paralytic;sailing champion,False,True,mismatch-valid,11782,659.33,658.0,6352.71
2,8,syllogistic,No;object with wheal;boat/All;vehicle;object with wheal,verify,Some not;vehicle;boat,False,False,mismatch-invalid,6232,574.17,543.8,6352.71
2,10,syllogistic,All;men;Y gene/No;Y gene;ova,verify,Some not;men;ova,False,False,mismatch-invalid,4192,647.67,658.2,6352.71
3,14,syllogistic,All;flower;water/No;computer;flower,verify,No;computer;water,True,False,match-invalid,8376,490.0,544.5,10111.33
3,16,syllogistic,No;elephant;car/All;car;petrol,verify,No;elephant;petrol,True,False,match-invalid,1358,570.6,568.0,10111.33
3,3,syllogistic,All;snake;reptile/No;rabbit;snake,verify,No;rabbit;reptile,True,False,match-invalid,2365,718.83,752.5,10111.33
3,7,syllogistic,No;stone;cat/All;cat;eyes,verify,No;stone;eyes,True,False,match-invalid,2840,580.5,592.83,10111.33
3,15,syllogistic,All;Finland;country in the north/No;country in the north;hot,verify,No;Finland;hot,True,True,match-valid,2065,616.0,533.6,10111.33
3,4,syllogistic,No;fruit;dairy product/All;apple;fruit,verify,No;apple;dairy product,True,True,match-valid,4573,575.2,612.0,10111.33
3,8,syllogistic,All;ant;insect/No;insect;backbone,verify,No;ant;backbone,True,True,match-valid,6313,575.0,617.5,10111.33
3,13,syllogistic,No;animal;immortal/All;bird;animal,verify,No;bird;immortal,True,True,match-valid,3897,494.17,568.67,10111.33
3,5,syllogistic,All;bat;mammal/No;mammal;fly,verify,All;bat;fly,False,False,mismatch-invalid,4736,657.0,750.17,10111.33
3,12,syllogistic,All;dolphin;animal/No;cold-blooded animal;dolphin,verify,Some not;animal;cold-blooded,True,True,mismatch-valid,11904,542.17,492.67,10111.33
3,11,syllogistic,All;cream;object with lots of odour/No;object with lots of odour;metallic object,verify,Some not;metallic object;cream,False,True,mismatch-valid,43936,476.83,559.0,10111.33
3,17,syllogistic,All;pilot;driver/No;autism;pilot,verify,Some not;driver;autism,True,True,mismatch-valid,11026,588.0,594.33,10111.33
3,6,syllogistic,All;sailing champion;swimm well/No;swimm well;paralytic,verify,Some not;paralytic;sailing champion,True,True,mismatch-valid,14323,546.83,587.0,10111.33
3,10,syllogistic,No;object with wheal;boat/All;vehicle;object with wheal,verify,Some not;vehicle;boat,False,False,mismatch-invalid,26048,576.67,534.5,10111.33
3,18,syllogistic,All;men;Y gene/No;Y gene;ova,verify,Some not;men;ova,False,False,mismatch-invalid,7910,501.33,604.5,10111.33
4,15,syllogistic,All;flower;water/No;computer;flower,verify,No;computer;water,True,False,match-invalid,1562,506.83,530.0,5610.6
4,17,syllogistic,No;elephant;car/All;car;petrol,verify,No;elephant;petrol,True,False,match-invalid,1045,561.33,619.4,5610.6
4,11,syllogistic,All;snake;reptile/No;rabbit;snake,verify,No;rabbit;reptile,True,False,match-invalid,2528,577.0,530.83,5610.6
4,12,syllogistic,No;stone;cat/All;cat;eyes,verify,No;stone;eyes,True,False,match-invalid,5267,495.0,511.67,5610.6
4,10,syllogistic,All;Finland;country in the north/No;country in the north;hot,verify,No;Finland;hot,True,True,match-valid,4820,530.0,568.83,5610.6
4,3,syllogistic,No;fruit;dairy product/All;apple;fruit,verify,No;apple;dairy product,True,True,match-valid,2753,610.17,572.5,5610.6
4,14,syllogistic,All;ant;insect/No;insect;backbone,verify,No;ant;backbone,True,True,match-valid,2398,550.33,562.4,5610.6
4,13,syllogistic,No;animal;immortal/All;bird;animal,verify,No;bird;immortal,False,True,match-valid,7871,642.83,557.8,5610.6
4,8,syllogistic,All;bat;mammal/No;mammal;fly,verify,All;bat;fly,False,False,mismatch-invalid,3805,532.5,519.67,5610.6
4,18,syllogistic,All;dolphin;animal/No;cold-blooded animal;dolphin,verify,Some not;animal;cold-blooded,True,True,mismatch-valid,10667,552.67,544.8,5610.6
4,16,syllogistic,All;cream;object with lots of odour/No;object with lots of odour;metallic object,verify,Some not;metallic object;cream,False,True,mismatch-valid,9770,540.83,525.6,5610.6
4,6,syllogistic,All;pilot;driver/No;autism;pilot,verify,Some not;driver;autism,False,True,mismatch-valid,7178,567.2,648.8,5610.6
4,5,syllogistic,All;sailing champion;swimm well/No;swimm well;paralytic,verify,Some not;paralytic;sailing champion,True,True,mismatch-valid,8340,600.67,629.83,5610.6
4,4,syllogistic,No;object with wheal;boat/All;vehicle;object with wheal,verify,Some not;vehicle;boat,True,False,mismatch-invalid,12129,537.33,537.67,5610.6
4,7,syllogistic,All;men;Y gene/No;Y gene;ova,verify,Some not;men;ova,True,False,mismatch-invalid,4026,648.67,614.5,5610.6
5,7,syllogistic,All;flower;water/No;computer;flower,verify,No;computer;water,False,False,match-invalid,6888,858.34,803.67,5310.57
5,5,syllogistic,No;elephant;car/All;car;petrol,verify,No;elephant;petrol,False,False,match-invalid,6128,1001.75,672.4,5310.57
