;id;theoretical_best;max;min;span_max_min;span_best_max;mean_th_best;mean_max;mean_min;mean_span;mean_span_best
0;34;58;50;33;17;8;39;32;20;12;7
1;35;40;31;21;10;9;39;32;20;12;7
2;36;39;33;20;13;6;39;32;20;12;7
3;37;28;21;11;10;7;39;32;20;12;7
4;38;54;47;33;14;7;39;32;20;12;7
5;39;46;38;27;11;8;39;32;20;12;7
6;40;19;13;6;7;6;39;32;20;12;7
7;41;42;30;18;12;12;39;32;20;12;7
8;42;24;14;9;5;10;39;32;20;12;7
9;43;42;31;25;6;11;39;32;20;12;7
10;44;30;25;16;9;5;39;32;20;12;7
11;45;40;32;22;10;8;39;32;20;12;7
12;46;53;48;28;20;5;39;32;20;12;7
13;47;31;23;16;7;8;39;32;20;12;7
14;48;19;14;9;5;5;39;32;20;12;7
15;49;48;39;29;10;9;39;32;20;12;7
16;50;49;38;27;11;11;39;32;20;12;7
17;51;49;37;28;9;12;39;32;20;12;7
18;52;23;19;7;12;4;39;32;20;12;7
19;53;31;26;15;11;5;39;32;20;12;7
20;54;56;49;33;16;7;39;32;20;12;7
21;55;26;19;11;8;7;39;32;20;12;7
22;56;30;24;13;11;6;39;32;20;12;7
23;57;39;30;19;11;9;39;32;20;12;7
24;58;40;33;21;12;7;39;32;20;12;7
25;59;55;51;30;21;4;39;32;20;12;7
26;60;41;37;21;16;4;39;32;20;12;7
27;61;18;13;7;6;5;39;32;20;12;7
28;62;23;16;10;6;7;39;32;20;12;7
29;63;31;26;12;14;5;39;32;20;12;7
30;64;42;31;21;10;11;39;32;20;12;7
31;65;32;24;15;9;8;39;32;20;12;7
32;66;31;25;12;13;6;39;32;20;12;7
33;67;32;23;13;10;9;39;32;20;12;7
34;68;51;43;32;11;8;39;32;20;12;7
35;69;36;27;16;11;9;39;32;20;12;7
36;70;50;49;27;22;1;39;32;20;12;7
37;71;52;44;25;19;8;39;32;20;12;7
38;72;49;39;25;14;10;39;32;20;12;7
39;73;31;24;12;12;7;39;32;20;12;7
40;74;55;47;32;15;8;39;32;20;12;7
41;75;40;32;23;9;8;39;32;20;12;7
42;76;39;30;18;12;9;39;32;20;12;7
43;77;42;35;21;14;7;39;32;20;12;7
44;78;50;45;26;19;5;39;32;20;12;7
45;79;41;34;18;16;7;39;32;20;12;7
46;80;30;25;13;12;5;39;32;20;12;7
47;81;35;28;13;15;7;39;32;20;12;7
48;82;39;28;18;10;11;39;32;20;12;7
49;83;43;38;19;19;5;39;32;20;12;7
50;84;46;37;24;13;9;39;32;20;12;7
51;85;17;14;8;6;3;39;32;20;12;7
52;86;41;31;20;11;10;39;32;20;12;7
53;87;36;27;14;13;9;39;32;20;12;7
54;88;45;37;23;14;8;39;32;20;12;7
55;89;28;24;14;10;4;39;32;20;12;7
56;90;38;30;17;13;8;39;32;20;12;7
57;91;38;28;18;10;10;39;32;20;12;7
58;92;22;18;8;10;4;39;32;20;12;7
59;93;43;33;24;9;10;39;32;20;12;7
60;94;24;21;11;10;3;39;32;20;12;7
61;95;22;16;11;5;6;39;32;20;12;7
62;96;48;43;28;15;5;39;32;20;12;7
63;97;44;33;24;9;11;39;32;20;12;7
64;98;49;39;28;11;10;39;32;20;12;7
65;99;54;47;30;17;7;39;32;20;12;7
66;100;41;34;25;9;7;39;32;20;12;7
67;101;56;49;30;19;7;39;32;20;12;7
68;102;51;43;29;14;8;39;32;20;12;7
69;103;33;25;17;8;8;39;32;20;12;7
70;104;44;36;23;13;8;39;32;20;12;7
71;105;44;31;24;7;13;39;32;20;12;7
72;106;51;41;30;11;10;39;32;20;12;7
73;107;56;50;31;19;6;39;32;20;12;7
74;108;36;29;14;15;7;39;32;20;12;7
75;109;42;32;24;8;10;39;32;20;12;7
76;110;22;16;9;7;6;39;32;20;12;7
77;111;33;26;19;7;7;39;32;20;12;7
78;112;28;24;13;11;4;39;32;20;12;7
79;113;29;24;9;15;5;39;32;20;12;7
80;114;26;19;12;7;7;39;32;20;12;7
81;115;42;34;21;13;8;39;32;20;12;7
82;116;41;32;20;12;9;39;32;20;12;7
83;117;19;12;8;4;7;39;32;20;12;7
84;118;52;42;29;13;10;39;32;20;12;7
85;119;39;29;17;12;10;39;32;20;12;7
86;120;51;45;28;17;6;39;32;20;12;7
87;121;48;41;28;13;7;39;32;20;12;7
88;122;15;11;3;8;4;39;32;20;12;7
89;123;33;26;12;14;7;39;32;20;12;7
90;124;40;30;21;9;10;39;32;20;12;7
91;125;41;30;21;9;11;39;32;20;12;7
92;126;44;38;20;18;6;39;32;20;12;7
93;127;31;22;12;10;9;39;32;20;12;7
94;128;48;41;27;14;7;39;32;20;12;7
95;129;48;43;28;15;5;39;32;20;12;7
96;130;47;34;23;11;13;39;32;20;12;7
97;131;25;19;12;7;6;39;32;20;12;7
98;132;49;47;25;22;2;39;32;20;12;7
99;133;28;21;15;6;7;39;32;20;12;7
100;134;51;45;28;17;6;39;32;20;12;7
101;135;56;45;36;9;11;39;32;20;12;7
102;136;27;22;10;12;5;39;32;20;12;7
103;137;18;13;6;7;5;39;32;20;12;7
104;138;37;30;15;15;7;39;32;20;12;7
105;139;40;35;23;12;5;39;32;20;12;7
106;140;38;29;22;7;9;39;32;20;12;7
107;141;42;29;21;8;13;39;32;20;12;7
108;142;36;28;20;8;8;39;32;20;12;7
109;143;54;40;31;9;14;39;32;20;12;7
110;144;40;32;18;14;8;39;32;20;12;7
111;145;39;31;22;9;8;39;32;20;12;7
112;146;58;49;33;16;9;39;32;20;12;7
113;147;51;44;26;18;7;39;32;20;12;7
114;148;38;30;16;14;8;39;32;20;12;7
115;149;35;25;15;10;10;39;32;20;12;7
116;150;41;34;22;12;7;39;32;20;12;7
117;151;48;41;28;13;7;39;32;20;12;7
118;152;38;31;19;12;7;39;32;20;12;7
119;153;33;24;13;11;9;39;32;20;12;7
120;154;45;37;22;15;8;39;32;20;12;7
121;155;54;46;26;20;8;39;32;20;12;7
122;156;39;32;25;7;7;39;32;20;12;7
123;157;57;48;34;14;9;39;32;20;12;7
124;158;43;33;23;10;10;39;32;20;12;7
125;159;53;48;28;20;5;39;32;20;12;7
126;160;15;14;5;9;1;39;32;20;12;7
127;161;58;53;32;21;5;39;32;20;12;7
128;162;47;39;24;15;8;39;32;20;12;7
129;163;50;44;24;20;6;39;32;20;12;7
130;164;39;29;15;14;10;39;32;20;12;7
131;165;34;25;14;11;9;39;32;20;12;7
132;166;55;53;29;24;2;39;32;20;12;7
133;167;39;32;15;17;7;39;32;20;12;7
134;168;38;28;18;10;10;39;32;20;12;7
135;169;56;46;31;15;10;39;32;20;12;7
136;170;51;44;27;17;7;39;32;20;12;7
137;171;37;30;14;16;7;39;32;20;12;7
138;172;20;17;10;7;3;39;32;20;12;7
