"content"	"p"	"p_q"	"p_notq"	"p_q_notq"
abstract	5	6	1	0
abstract	4	6	1	0
abstract	1	6	3	5
abstract	2	5	3	1
deontic	1	1	21	1
deontic	2	0	18	1
abstract	4	14	2	2
abstract	3	12	5	1
generalization	1	0	9	2
generalization	6	0	2	1
abstract	5	0	4	1
abstract	5	1	3	1
generalization	5	0	1	3
generalization	5	1	0	0
abstract	7	0	1	0
abstract	5	1	1	0
deontic	2	4	14	2
deontic	4	3	12	1
deontic	1	3	5	0
deontic	6	7	4	1
abstract	7	11	2	1
abstract	7	5	3	1
abstract	0	2	4	0
abstract	2	11	4	1
abstract	12	17	3	6
abstract	13	19	6	0
generalization	19	11	10	1
generalization	11	13	11	2
abstract	3	7	0	0
generalization	3	8	0	0
abstract	6	4	1	0
generalization	5	4	2	0
abstract	1	7	0	0
generalization	4	3	4	1
generalization	7	5	2	1
generalization	7	5	1	2
abstract	7	8	0	0
abstract	5	10	0	0
deontic	5	0	14	1
deontic	3	0	15	0
abstract	3	8	0	1
abstract	0	13	0	0
abstract	3	10	7	2
abstract	5	2	12	0
abstract	6	1	15	0
abstract	1	1	14	1
deontic	6	2	11	0
deontic	1	2	19	1
deontic	2	2	19	1
deontic	1	2	20	0
deontic	0	0	25	0
abstract	5	16	0	0
generalization	3	1	16	3
abstract	9	10	0	0
deontic	3	1	53	0
generalization	11	11	25	3
abstract	7	41	2	0
abstract	10	43	2	0
deontic	2	1	17	0
abstract	2	13	1	1
generalization	0	8	10	2
abstract	2	11	3	0
deontic	1	0	8	1
abstract	3	5	0	1
deontic	3	2	0	0
deontic	3	2	1	0
generalization	14	17	34	17
generalization	18	5	1	12
deontic	0	0	1	0
deontic	0	2	6	0
deontic	1	3	17	0
deontic	3	0	8	0
deontic	0	1	0	0
deontic	1	0	7	1
deontic	0	1	0	0
generalization	9	9	34	3
deontic	9	33	9	2
abstract	2	5	0	0
abstract	2	4	0	1
abstract	3	1	1	0
abstract	2	2	1	0
abstract	6	10	0	0
abstract	3	7	3	0
abstract	4	4	4	1
abstract	1	5	4	1
abstract	6	1	5	0
abstract	1	7	0	0
abstract	4	3	2	0
abstract	3	3	4	1
abstract	0	0	8	0
deontic	0	14	8	0
deontic	4	4	4	0
generalization	82	127	78	37
generalization	41	111	74	37
generalization	41	58	78	41
generalization	71	46	19	4
generalization	18	67	23	5
generalization	18	48	12	4
abstract	3	2	9	5
abstract	1	4	9	1
abstract	0	4	3	5
abstract	0	3	3	7
abstract	1	3	3	5
abstract	0	5	6	3
abstract	2	1	11	1
abstract	1	3	6	1
abstract	1	5	6	2
abstract	7	4	3	1
abstract	1	4	5	0
abstract	3	7	0	0
abstract	2	6	5	0
abstract	0	1	9	1
abstract	3	4	7	1
abstract	2	0	8	5
abstract	1	4	10	3
abstract	4	3	10	2
abstract	1	1	18	0
abstract	1	0	13	0
abstract	0	0	11	0
abstract	1	0	12	0
abstract	8	0	6	0
abstract	3	0	8	0
generalization	3	1	21	1
abstract	9	7	7	1
generalization	0	2	11	2
generalization	0	10	3	0
generalization	0	1	14	3
generalization	1	5	5	1
generalization	2	1	12	3
generalization	3	5	8	0
generalization	0	5	8	0
generalization	5	9	1	0
deontic	2	1	16	0
deontic	3	5	4	0
deontic	4	2	7	0
deontic	1	1	14	1
deontic	1	1	17	0
deontic	4	2	9	0
deontic	3	3	5	0
deontic	4	0	11	1
deontic	0	2	16	0
deontic	5	1	10	0
deontic	1	3	12	0
deontic	0	1	17	0
deontic	4	0	12	3
deontic	1	3	5	1
deontic	3	5	6	4
deontic	2	1	17	0
deontic	2	1	14	0
deontic	6	3	5	0
deontic	2	2	4	0
deontic	1	1	15	0
deontic	6	9	1	0
deontic	3	4	3	1
deontic	1	3	5	3
deontic	3	3	6	2
deontic	7	12	4	1
deontic	8	4	6	2
abstract	0	22	3	3
deontic	47	64	110	18
generalization	38	150	22	14
abstract	40	140	34	12
deontic	38	144	24	14
abstract	63	69	93	13
deontic	28	35	148	17
deontic	12	5	252	8
abstract	5	11	3	0
generalization	4	9	4	3
abstract	2	12	3	0
abstract	3	4	3	2
abstract	12	14	2	0
deontic	6	1	20	0
deontic	4	2	15	1
deontic	8	7	5	3
deontic	6	2	15	1
deontic	5	5	3	1
deontic	5	1	42	2
generalization	0	22	3	3
generalization	15	14	13	10
deontic	5	4	34	5
generalization	11	8	18	8
abstract	6	14	4	3
abstract	6	5	6	2
abstract	11	10	9	4
generalization	7	10	8	3
generalization	4	6	14	6
generalization	5	6	12	7
generalization	5	6	12	3
generalization	7	11	13	6
generalization	4	7	10	2
deontic	2	0	24	0
deontic	1	0	32	0
deontic	0	4	22	0
deontic	2	0	20	0
deontic	1	0	16	0
deontic	2	1	13	0
deontic	3	1	19	0
deontic	3	2	19	0
deontic	1	2	16	0
deontic	1	1	10	0
abstract	92	15	76	8
abstract	5	1	9	2
abstract	27	41	10	8
abstract	8	56	4	1
abstract	3	15	8	4
abstract	9	39	14	3
deontic	2	1	10	0
deontic	4	11	1	2
deontic	1	14	2	1
deontic	0	7	7	1
deontic	6	4	168	2
generalization 	41	100	34	3
abstract	108	19	88	10
abstract	5	1	9	2
abstract	27	41	10	8
abstract	96	106	11	4
abstract	87	91	22	11
abstract	104	113	12	1
abstract	112	49	36	6
abstract	95	109	16	5
abstract	134	49	12	7
abstract	92	111	10	4
abstract	126	59	7	16
abstract	112	131	11	1
abstract	132	101	11	2
abstract	54	99	23	13
abstract	46	56	16	10
abstract	51	38	116	39
