"Group"	"0000"	"0001"	"0010"	"0011	"0100"	"0101"	"0110"	"0111"	"1000"	"1001"	"1010"	"1011"	"1100"	"1101"	"1110"	"1111"
A3	10	10	35	5	11	16	4	2	99	12	105	3	8	1	1	14
An3	8	21	12	2	10	2	12	2	76	124	10	7	4	2	0	8
nA3	12	19	20	7	16	7	42	3	79	42	37	14	10	1	12	20
nAn3	8	40	11	7	26	64	11	1	54	29	53	7	9	3	2	24
IA3	6	18	43	6	7	22	6	2	92	20	99	2	7	2	0	19
IAn3	9	20	12	3	15	9	20	0	110	111	15	1	6	0	4	8
InA3	9	11	21	6	17	19	43	6	74	40	49	10	12	0	6	16
InAn3	9	34	17	7	22	56	8	1	39	34	55	5	8	1	1	11
EA3	14	8	10	1	9	43	9	7	88	22	90	0	15	0	2	8
EAn3	12	18	19	3	17	24	25	1	84	76	42	3	10	1	2	11
EnA3	5	18	20	8	17	13	20	2	62	36	71	1	12	0	5	10
EnAn3	8	25	22	2	19	56	16	1	53	33	70	5	13	2	2	19
